cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"3914","12753","987352","1140266","RAMSEY NATIONAL BANK","Devils Lake","ND","58301","12/31/2021","5/18/2022","N","300 4th St. Ne","FIRST HOLDING PARK RIVER","6","0","0","2","1","Ramsey","","","1/1/1892","1/1/1934","10/1/2011","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.ramseybank.com","9865","552","9313","1114","1428","724","167","","537","5577","3083","777","1717","4050","0","0","4050","0","4050","0","4050","68","1200","0","4050"
"10969","13250","172251","2359869","RANDALL STATE BANK","Randall","MN","56475","12/31/2021","5/18/2022","NM","307 Pacific Ave","RANDALL BCORP INC","2","0","0","4","0","Morrison","","","4/8/1908","1/1/1934","7/3/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.randallstatebank.com","2872","147","2725","90","41","0","29","","12","1607","1043","163","401","1069","0","305","764","0","764","0","764","65","500","0","764"
"5072","14270","355559","1139868","RANGE BANK","Marquette","MI","49855","12/31/2021","5/18/2022","NM","100 N Front St","RANGE FINANCIAL CORP","9","0","1","4","0","Marquette","","","6/4/1887","1/1/1934","6/30/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","http://rangebank.com","15208","831","14377","300","4920","663","387","","3870","13364","8322","1339","3703","5633","0","723","4910","0","4910","0","4910","-19","1197","0","4910"
"10438","0","749943","2267982","RARITAN STATE BANK","Raritan","IL","61471","12/31/2021","5/18/2022","NM","106 E. Main St.","RARITAN STATE BCORP INC","3","0","0","2","0","Henderson","","","1/1/1920","1/1/1934","6/6/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.raritanstatebank.com","6758","948","5810","212","1065","0","211","","854","3993","2384","649","960","2670","0","685","1985","0","1985","0","1985","8","1264","0","1985"
"28266","1265","768476","","RAYMOND FEDERAL BANK","Raymond","WA","98577","12/31/2021","5/18/2022","SB","202 Duryea St","","3","0","0","5","0","Pacific","","","1/1/1925","12/5/1934","8/3/2015","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.raymondfederalbank.com","2359","180","2179","0","97","0","34","","63","2214","1269","147","798","62","0","13","49","0","49","0","49","0","0","0","49"
"33893","12002","2193616","3815157","RAYMOND JAMES BANK","Saint Petersburg","FL","33716","12/31/2021","5/18/2022","SM","710 Carillon Pkwy.","RAYMOND JAMES FINANCIAL INC","1","0","0","4","0","Pinellas","45300","Tampa-St. Petersburg-Clearwater, FL","5/6/1994","5/6/1994","6/1/2021","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","www.raymondjamesbank.com","702703","41037","661666","-65488","26088","0","6","103","25979","250537","52730","2509","195298","502705","608","117072","386241","0","386241","0","386241","13943","50000","0","385760.68"
"30447","5352","518176","","RAYNE BUILDING AND LOAN ASSOCIATION","Rayne","LA","70578","12/31/2021","5/18/2022","SA","200 N Adams Ave","","1","0","0","7","0","Acadia","29180","Lafayette, LA","1/1/1900","7/28/1936","11/16/2021","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.raynebuildingloan.com","1953","472","1481","0","869","0","0","","869","1629","897","161","571","721","-273","55","393","0","393","0","393","0","0","0","633.24"
"16075","12687","900034","2227182","RAYNE STATE BANK & TRUST COMPANY","Rayne","LA","70578","12/31/2021","5/18/2022","NM","200 S Adams Ave","FINANCIAL CORP OF LOUISIANA","7","0","0","4","1","Acadia","29180","Lafayette, LA","7/1/1943","7/1/1943","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.bankonnet.com","18683","890","17793","600","1541","0","612","","929","12044","7747","2286","2011","6690","337","0","7027","0","7027","0","7027","4","3487","0","6690"
"26342","0","3783948","1232497","RBC BANK, (GEORGIA) NATIONAL ASSOCIATION","Atlanta","GA","30326","12/31/2021","5/18/2022","N","3550 Lenox Rd. Ne","ROYAL BANK OF CANADA","1","0","0","5","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","8/30/1985","8/30/1985","7/1/2018","Stock","0","0","OCC","DIF","Atlanta","SAN FRANCISCO","Atlanta","Atlanta","Southern","Southeast","0","0","www.rbcbank.com","82581","11644","70937","-1506","40707","0","13207","0","27500","69263","26445","1918","40900","43887","630","9703","34814","0","34814","0","34814","3088","0","0","34316.3"
"15399","0","945053","1130584","RCB BANK","Claremore","OK","74017","12/31/2021","5/18/2022","SM","300 W Patti Page Blvd","RCB HOLDING CO INC","62","0","1","9","1","Rogers","46140","Tulsa, OK","1/14/1936","7/9/1936","10/1/2021","Stock","0","1","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","0","http://www.rcbbank.net","105830","7747","98083","1269","29162","4568","7944","0","16650","87065","51205","13014","22846","38911","2433","1731","39613","0","39613","0","39613","199","65094","0","37277.32"
