cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,LNPLEDGE,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"17411","0","475653","2511014","MOUNTAIN VALLEY BANK","Walden","CO","80480","12/31/2021","5/18/2022","SM","461 Main St","PLATTE VALLEY FINL SERVICE COMPANIES","7","0","0","4","0","Jackson","","","2/21/1955","2/21/1955","12/8/2021","Stock","0","0","FED","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","http://www.bankmvb.com","258409","3400","261809","221","262030","206166","206166","24638","68617","50305","18312","2054","69842","41015","","10794","36114","","5810","547","78","3573","1612","3146","","771","306","69","2000","0","","83591","140","0","15555","9083","0",""
"6786","11246","1011432","1404641","MOUNTAIN VALLEY BANK, N.A.","Elkins","WV","26241","12/31/2021","5/18/2022","N","317 Davis Ave.","MOUNTAIN-VALLEY BANCSHARES INC","4","0","0","4","0","Randolph","","","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.mountainvalleybank.com","103648","1305","104953","0","104953","86894","86894","3854","33542","21175","12367","6555","42795","148","","0","13928","","3117","0","0","1441","1676","1014","","927","87","0","0","0","","80059","0","0","2269","1585","0",""
"58772","0","3636259","4181130","MOUNTAIN VIEW BANK OF COMMERCE","Westminster","CO","80234","12/31/2021","5/18/2022","NM","12001 Pecos St.","NBC BANCSHARES LLC","1","0","0","4","0","Adams","19740","Denver-Aurora-Lakewood, CO","2/8/2008","2/8/2008","11/13/2018","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","mvbofc.com","139069","2307","141376","0","141376","125267","125267","4575","97021","61517","35504","5796","17875","0","","0","16076","","12","0","12","0","0","21","","0","21","0","0","0","","81135","0","0","2816","1759","1737",""
"90253","12401","97804","2634212","MOUNTAINONE BANK","North Adams","MA","1247","12/31/2021","5/18/2022","SB","93 Main St","MOUNTAINONE FINANCIAL MHC","7","0","0","4","0","Berkshire","38340","Pittsfield, MA","1/1/1848","7/19/1985","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.mountainone.com","627140","13923","641063","0","641063","521192","521192","86252","169354","68935","100419","54385","211201","0","","0","111025","","8846","0","74","0","8772","0","","0","0","0","0","0","","217643","2982","0","16495","69757","8791",""
"9502","14489","722227","","MOVEMENT BANK","Danville","VA","24541","12/31/2021","5/18/2022","NM","201 N Union St.","","2","0","1","4","0","Danville City","","","9/8/1919","1/1/1934","7/25/2017","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.movementbank.com","73460","922","74382","0","74382","67223","67223","1249","32244","19333","12911","13365","19721","644","","0","6575","","584","0","4","155","425","0","","0","0","0","0","6575","","36119","952","266","1249","0","922",""
"58619","0","3482111","3482102","MRV BANKS","Sainte Genevieve","MO","63670","12/31/2021","5/18/2022","NM","871 Ste Genevieve Dr","MRV FINANCIAL CORP","4","0","0","4","0","Sainte Genevieve","","","7/16/2007","7/16/2007","6/28/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.mrvbanks.com","542530","6919","549449","0","549449","371249","371249","76426","196711","22047","174664","15346","37709","45057","","8329","167995","","1876","307","20","1268","281","0","","0","0","0","0","43533","","93206","0","0","5034","71392","0",""
"19525","7136","542667","","MT. MCKINLEY BANK","Fairbanks","AK","99701","12/31/2021","5/18/2022","SB","500 4th Ave","","5","0","0","4","0","Fairbanks North St","21820","Fairbanks, AK","12/3/1965","12/3/1965","5/31/2018","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","www.mtmckinleybank.com","230974","4121","235095","0","235095","191433","191433","25692","111384","70772","40612","16903","37454","0","","0","39039","","2547","0","0","929","1618","2075","","2057","18","0","0","0","","0","267","267","13600","12092","0",""
"15523","0","765662","","MUENSTER STATE BANK","Muenster","TX","76252","12/31/2021","5/18/2022","NM","201 N. Main St.","","2","0","0","7","1","Cooke","","","7/3/1923","7/31/1937","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.msbtx.com","57098","724","57822","0","57822","42299","42299","7992","13734","9384","4350","0","15275","5298","","1335","5787","","3915","0","0","1584","2331","4486","","1214","3272","0","0","0","","0","0","0","4938","3054","0",""
"22826","0","212465","2961897","MUFG UNION BANK, NATIONAL ASSOCIATION","San Francisco","CA","94104","12/31/2021","5/18/2022","N","350 California St, 1st Fl.","MITSUBISHI UFJ FINL GROUP INC","299","0","1","4","0","San Francisco","41860","San Francisco-Oakland-Hayward, CA","3/9/1979","3/9/1979","2/21/2020","Stock","0","1","OCC","DIF","San Francisco","WASHINGTON","San Francisco","San Francisco","Western","Western","0","0","www.unionbank.com","79395625","756699","80152324","0","80152324","43813203","43813203","1586986","8997643","3630581","5367062","6769048","26262234","197292","0","501128","20129348","813349","2757095","210608","294479","11159","2240849","12951550","0","468319","12396782","85963","486","1546000","37854","32269013","234065","67605","99764","1487222","635325","0"
"23546","0","460332","","MUNICIPAL TRUST AND SAVINGS BANK","Bourbonnais","IL","60914","12/31/2021","5/18/2022","NM","720 Main St, N.W.","","3","0","0","4","1","Kankakee","28100","Kankakee, IL","10/2/1981","10/2/1981","7/19/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","WWW.MUNICIPALBANK.COM","206599","2731","209330","0","209330","200590","200590","5478","64350","26178","38172","34077","80243","16442","","36","4786","","1403","0","5","589","809","2515","","2499","16","0","0","568","","0","0","0","2975","2503","0",""
"25726","13217","855563","","MURPHY BANK","Fresno","CA","93704","12/31/2021","5/18/2022","NM","5180 N. Palm Ave.","","2","0","0","4","1","Fresno","23420","Fresno, CA","2/1/1984","10/29/1984","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","http://www.murphybank.com","306706","3407","310113","0","310113","59283","59283","1900","11157","5043","6114","266","43860","2100","","36","102039","0","74110","0","0","1116","72994","74644","","0","0","74644","0","0","0","159760","496","133","643","1257","0",""
"10860","0","478140","2232748","MURPHY-WALL STATE BANK AND TRUST COMPANY","Pinckneyville","IL","62274","12/31/2021","5/18/2022","NM","105 E Water St","MURPHY-WALL BCORP INC","5","0","0","4","0","Perry","","","11/1/1874","1/1/1934","8/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.murphywall.com","87669","1619","89288","0","89288","68716","68716","8700","28149","14111","14038","1534","26734","3599","","1890","13694","","4714","0","5","1247","3462","274","","267","7","0","0","0","","47160","0","0","3093","5607","0",""
"28302","1330","235174","3849013","MUTUAL FEDERAL BANK","Chicago","IL","60608","12/31/2021","5/18/2022","SA","2212 W. Cermak Rd.","MUTUAL FEDERAL BCORP MHC","1","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1905","4/10/1935","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.mutualfederalbank.com","65257","950","66207","0","66207","66205","66205","2741","3358","1153","2205","7856","52250","0","","0","0","","0","0","0","0","0","1","","0","1","0","0","0","","42929","92","0","2275","466","772",""
"27716","165","809070","","MUTUAL SAVINGS AND LOAN ASSOCIATION","Metairie","LA","70006","12/31/2021","5/18/2022","SA","2900 Clearview Pkwy.","","2","0","0","5","0","Jefferson","35380","New Orleans-Metairie, LA","1/1/1910","1/16/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.mutualsavings.com","32121","200","32321","0","32321","32198","32198","912","1032","1032","0","327","29927","0","","0","0","","123","0","0","0","123","0","","0","0","0","0","0","","242","0","0","618","294","200",""
"29988","4492","636276","","MUTUAL SAVINGS ASSOCIATION","Leavenworth","KS","66048","12/31/2021","5/18/2022","SA","100 S. 4th St","","6","0","0","8","0","Leavenworth","28140","Kansas City, MO-KS","1/1/1888","10/24/1949","12/28/2018","Non-Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.MSA.bank","147804","2311","150115","450","150565","135921","135921","36952","18692","13299","5393","4932","74967","378","","0","11257","","3387","0","0","707","2680","0","","0","0","0","0","0","","76623","300","0","13370","23582","2224",""
"27742","207","841472","3252659","MUTUAL SAVINGS BANK","Franklin","IN","46131","12/31/2021","5/18/2022","SB","80 E. Jefferson St.","THIRD CENTURY BCORP","5","0","0","4","0","Johnson","26900","Indianapolis-Carmel-Anderson, IN","1/1/1890","8/24/1935","2/25/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.mymsb.bank","142854","1881","144735","287","145022","126016","126016","6926","57803","34944","22859","2866","51932","6489","","348","14598","","4045","368","647","2544","486","15","","15","0","0","0","0","","83666","0","0","3828","3098","1881",""
"29999","4516","729570","","MUTUAL SAVINGS BANK","Hartsville","SC","29550","12/31/2021","5/18/2022","SA","330 W. Carolina Ave","","1","0","0","8","0","Darlington","22500","Florence, SC","11/13/1936","11/13/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.mutualsavings.net","27166","441","27607","0","27607","24155","24155","1007","6695","6105","590","320","15945","188","","0","1939","","1512","0","34","1028","450","1","","0","1","0","0","0","","2898","72","7","301","706","372",""
"26395","4185","154770","","MUTUALONE BANK","Framingham","MA","1701","12/31/2021","5/18/2022","SB","828 Concord St","","3","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1889","10/11/1985","5/1/2021","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.mutualone.com","812157","13368","825525","301","825826","636458","636458","126732","231563","81246","150317","77986","200177","0","","200","182709","","6455","0","0","517","5938","5","","0","5","0","0","2815","","206549","1916","1004","56971","69761","0",""
"34603","0","2757205","3211601","MVB BANK, INC","Fairmont","WV","26554","12/31/2021","5/18/2022","NM","301 Virginia Ave","MVB FINANCIAL CORP","8","0","1","4","0","Marion","","","1/4/1999","1/4/1999","7/10/2021","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.mvbbanking.com","1851572","18266","1869838","0","1869838","1175236","1175236","243484","652699","166700","485999","45373","233301","379","","0","642569","0","42739","0","27","41699","1013","9294","","4892","4402","0","0","0","0","586610","4146","3603","167721","75763","0",""
"58590","0","3635029","5196177","NANO BANC","Irvine","CA","92618","12/31/2021","5/18/2022","SM","7755 Irvine Ctr. Dr Fl 3","ALLEGIANT UNITED HOLDINGS LLC","2","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","9/17/2007","9/17/2007","9/28/2020","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.nanobanc.com","944290","31055","975345","0","975345","466764","466764","31933","273829","33816","240013","124389","36613","0","","0","429460","","0","0","0","0","0","79121","","0","79121","0","0","371605","","299789","7297","7297","0","31933","13038",""
"57784","0","3285778","","NANTAHALA BANK & TRUST COMPANY","Franklin","NC","28734","12/31/2021","5/18/2022","NM","120 Siler Rd.","","3","0","0","4","0","Macon","","","10/4/2004","10/4/2004","6/27/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.nantahalabank.com","131222","1682","132904","0","132904","126015","126015","22513","40316","22844","17472","4450","58736","0","","0","5362","","1527","0","25","246","1256","0","","0","0","0","0","0","","23349","0","0","7997","14516","1682",""
"29677","3872","343770","","NASHVILLE SAVINGS BANK","Nashville","IL","62263","12/31/2021","5/18/2022","SB","209 E Lebanon St","","1","0","0","8","0","Washington","","","1/1/1893","9/25/1958","8/1/2021","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.nashvillesavingsbk.com","45593","454","46047","0","46047","35383","35383","837","7722","6148","1574","1464","14625","10735","","628","6844","","2495","0","0","718","1777","697","","686","11","0","0","0","","4000","0","0","658","179","0",""
"33959","12209","2233875","1242188","NATBANK, NATIONAL ASSOCIATION","Hollywood","FL","33020","12/31/2021","5/18/2022","N","4031 Oakwood Blvd.","NATIONAL BANK OF CANADA","3","0","0","5","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12/6/1994","12/6/1994","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.natbank.com","143392","889","144281","0","144281","141662","141662","1875","5","0","5","0","139782","0","","0","1030","","1587","0","1339","61","187","2","","0","2","0","0","1030","","0","0","0","0","1875","889",""
"57160","16268","2809373","","NATIONAL ADVISORS TRUST COMPANY","Kansas City","MO","64131","12/31/2021","5/18/2022","N","800 E 101st Ter","","1","0","0","7","0","Jackson","28140","Kansas City, MO-KS","10/1/2001","10/1/2001","8/1/2017","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.NationalAdvisorsTrust.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0",""
