 CUSIP              CALLTYPE             STARTDT          ENDDT            NEXTCALL         DATE     F  SIMPNDX FORMULA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 3130APCT0          OPR                  20220121         20250221         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCU7          OPR                  20220114         20250414         20221014         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCV5          OPR                  20211230         20360930         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCW3          OPR                  20220121         20241021         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCX1          OPR                  20211126         20261026         20220826         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCY9          OPR                  20220121         20311021         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APCZ6          OPR                  20211126         20261026         20220826         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD28          OPR                  20220119         20261019         20221019         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD36          OPR                  20261008         20311008         20261008         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD44          OPR                  20221006         20361006         20221006         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD51          OPR                  20220107         20361007         20220107         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD69          OPR                  20221006         20311006         20221006         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD77          OPR                  20220106         20281006         20220106         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APD85          OPR                  20221020         20270420         20221020         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDA0          OPR                  20220125         20241025         20220925         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDB8          OPR                  20220330         20340330         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDC6          OPR                  20220630         20260930         20230630         FLEX     A        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDD4          OPR                  20220421         20260421         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDE2          OPR                  20211126         20261026         20220826         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDF9          OPR                  20220120         20290420         20221020         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDG7          OPR                  20220121         20260121         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDH5          OPR                  20211230         20260930         20220930         COUP     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDJ1          OPR                  20220418         20241018         20221018         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDK8          OPR                  20220330         20260930         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDL6          OPR                  20220330         20250630         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDM4          OPR                  20220330         20261230         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDN2          OPR                  20220127         20251027         20221027         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDP7          OPR                  20220127         20250227         20221027         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDQ5          OPR                  20220128         20261028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDR3          OPR                  20220114         20261014         20221014         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDS1          OPR                  20221028         20261028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDT9          OPR                  20220502         20261102         20221102         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDU6          OPR                  20220330         20260930         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDV4          OPR                  20220107         20241007         20221007         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDW2          OPR                  20220428         20250428         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDX0          OPR                  20220428         20241028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APDY8          OPR                  20220210         20261110         20221110         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE27          OPR                  20220126         20261026         20221026         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE35          OPR                  20220330         20260330         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE43          OPR                  20220121         20260121         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE50          OPR                  20211230         20260930         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE68          OPR                  20220210         20261110         20221110         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APE76          OPR                  20220126         20261026         20221026         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEA9          OPR                  20220114         20261014         20221014         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEB7          OPR                  20220121         20261021         20221021         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEC5          OPR                  20211126         20311024         20220826         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APED3          OPR                  20220127         20241227         20221027         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEE1          OPR                  20211210         20261110         20220910         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEF8          OPR                  20220328         20290928         20220928         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEG6          OPR                  20220330         20250930         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEH4          OPR                  20220330         20260630         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEJ0          OPR                  20220428         20260428         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEK7          OPR                  20220428         20261028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEL5          OPR                  20220128         20261028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEM3          OPR                  20220428         20250228         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEN1          OPR                  20221027         20221027         20221027         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEP6          OPR                  20221007         20311007         20221007         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEQ4          OPR                  20220106         20311006         20220106         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APER2          OPR                  20241007         20361007         20241007         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APES0          OPR                  20261008         20361008         20261008         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APET8          OPR                  20220630         20340330         20220930         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEW1          OPR                  20220128         20260728         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APEY7          OPR                  20220721         20260721         20230721         FLEX     A        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF26          OPR                  20221021         20261021         20221021         FLEX     A        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF34          OPR                  20220114         20311014         20221014         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF59          OPR                  20220128         20241028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF67          OPR                  20211228         20261028         20220828         FLEX     M        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF75          OPR                  20220427         20240927         20221027         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF83          OPR                  20220428         20251028         20221028         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APF91          OPR                  20220427         20241227         20221027         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APFA8          OPR                  20221027         20221027         20221027         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APFB6          OPR                  20221019         20221019         20221019         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130APFC4          OPR                  20221004         20221004         20221004         ONCE     B        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
