"ID System: Loan Charge-Offs and Recoveries"
"","Title","Variable","Definition"
"50.","Recoveries:Other Loans","crother"," Recoveries of all other loans that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"51.","Recoveries:Lease Financing Receivables","crls"," Total recoveries of lease financing receivables that have been credited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"52.","Recoveries:Loans To Finance Agricultural and Other Loans To Farmers Bks <$300M","cragsm"," Total recoveries of loans to finance agricultural production and other loans to farmers that have been credited to the allowance for loan and lease losses established by the institution.  This item is reported only by institutions with assets of $300 million or less.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"53.","Net Charge-offs: Total Loans and Leases","ntlnls","Total loans and leases charged-off (removed from balance sheet because of uncollectibility), less amounts recovered on loans and leases previously charged-off."
"54.","Net Charge-offs:Loans Secured By Real Estate, Total","ntre","The net amount of charged-off loans secured by real estate debited to the allowance for loan and lease losses established by the institution."
"55.","Net Charge-offs:LoansTo Non-U.S. Addressees","ntrenus","The net amount of charged-off loans secured by real estate (whose addresses are not within the U.S.) debited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"56.","Net Charge-Offs:Real Estate Loans in Domestic Offices","idntredm","The net amount of charged-off loans secured by real estate and held in domestic offices of the institution. RIS definition: YR - IDNTREDM = SUM(NTRECONS, NTREAG, NTRERES, NTREMULT, NTRENRES) QTR - IDNTREDQ = SUM(NTRECONQ,NTREAGQ,NTRERESQ,NTREMULQ,NTRENRSQ)"
"57.","Net Charge-offs:Loans Construction and Land Development","ntrecons","Net amount of real estate loans (which are held in domestic offices) for construction and land development purposes that have charged-off and debited to the allowance for loan and lease losses established by the institution."
"58.","Net Charge offs:1-4 Family Residential Construction Loan ","NTRECNFM","Net charged off 1-4 family residential construction loans, debited to the allowance for loan and lease losses, held in domestic offices (data available as of March 2007)"
"59.","Net Charge offs:Other Contruction Loans and All Land Development and Other Land ","NTRECNOT","Net charged off other construction loans and all land development and other land loans, debited to the allowance for loan and lease losses, held in domestic offices. (Data available as of March 2007)"
"60.","Net Charge-offs:Loans Secured By Farmland","ntreag"," Net amount of loans secured by farmland (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters.TFR reports ended December 2011."
