cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"27237","12507","1190476","2303910","ENTERPRISE BANK & TRUST","Clayton","MO","63105","12/31/2021","5/18/2022","NM","150 N. Meramec","ENTERPRISE FINL SERVICES CORP","52","0","1","4","0","Saint Louis City","41180","St. Louis, MO-IL","5/9/1988","5/9/1988","9/30/2021","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.enterprisebank.com","11447700","11447700","10961235","0","348414","138051","0","0","","2006896","1578817","9440804","2890216","5942295","608293","9868883","4680757","6766943","10785680","5481744","60688","499098","499098","0","",""
"27408","11801","1356768","2461016","ENTERPRISE BANK AND TRUST COMPANY","Lowell","MA","1852","12/31/2021","5/18/2022","NM","222 Merrimack St","ENTERPRISE BCORP INC","26","0","1","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/3/1989","1/3/1989","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.enterprisebanking.com","3982220","3982220","3702123","0","273867","6229","0","0","","2110677","1367744","1871542","1355701","309392","206449","2614475","1481483","2500737","3930174","2359366","41693","0","0","0","",""
"11539","0","457426","","ENTERPRISE BANK OF SOUTH CAROLINA","Ehrhardt","SC","29081","12/31/2021","5/18/2022","NM","13497 Broxton Bridge Rd.","","12","0","0","8","0","Bamberg","","","1/1/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","https://ebsc.bank","413394","413394","360269","0","52889","236","0","0","","240966","107994","172428","43051","63311","66066","305400","107994","305400","404880","316223","10643","0","0","0","",""
"90270","13264","332402","3122846","ENVISION BANK","Randolph","MA","2368","12/31/2021","5/18/2022","SB","129 N Main St","RANDOLPH BCORP INC","6","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1851","1/2/1986","5/1/2021","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.envisionbank.com","643936","643936","585224","0","28957","29755","0","0","","206157","148020","437779","97761","191712","148307","495916","149326","494610","573573","492078","18212","50117","50117","29755","",""
"31485","7056","81175","4841041","EQUITABLE BANK","Grand Island","NE","68801","12/31/2021","5/18/2022","SM","113 N Locust St","EQUITABLE FINANCIAL CORP","6","0","0","4","0","Hall","24260","Grand Island, NE","1/1/1890","12/30/1965","3/30/2019","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.equitableonline.com","376566","376566","361744","0","13786","1036","0","0","","158299","98789","218267","120452","34976","62839","277777","65551","311015","366169","303514","11177","996","0","2586","",""
"30707","5778","206473","3835155","EQUITABLE SAVINGS AND LOAN ASSOCIATION","Sterling","CO","80751","12/31/2021","5/18/2022","SA","221 N 3rd St","FARMERS REALTY CO","10","0","0","5","0","Logan","","","1/1/1921","8/10/1954","7/21/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.equitable-savings.com","144842","144842","136594","0","8249","0","0","0","","41403","12323","103440","5532","42891","55016","132520","12345","132497","134184","136582","7446","0","0","0","",""
"25858","0","139656","3180547","EQUITY BANK","Andover","KS","67002","12/31/2021","5/18/2022","SM","345 N Andover Rd","EQUITY BANCSHARES INC","69","0","1","4","0","Butler","48620","Wichita, KS","1/21/1985","1/21/1985","12/4/2021","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","0","http://www.equitybank.com","4450030","4450030","3654691","0","785772","9567","0","0","","2479138","1582518","1970892","964996","352299","653598","2867512","1292562","3157468","4223070","3332936","89641","11019","0","0","",""
"10004","13641","599643","1249691","ERGO BANK","Markesan","WI","53946","12/31/2021","5/18/2022","NM","86 E. Water St.","FS BANCSHARES INC","2","0","0","4","0","Green Lake","","","1/20/1910","1/1/1934","3/6/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.ergobank.com","109580","109580","96677","4","12899","0","0","0","","33688","11840","75892","34379","20835","20678","97740","11844","97737","105475","90095","5144","3345","3345","496","",""
"10980","11844","40855","1127687","ESB BANK","Caledonia","MN","55921","12/31/2021","5/18/2022","NM","115 N. Hwy. 44/76","EITZEN INDEPENDENTS INC","3","0","0","2","1","Houston","29100","La Crosse-Onalaska, WI-MN","1/2/1909","1/1/1934","2/16/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","https://www.esbbanking.com","130110","130110","118723","0","11140","247","0","0","","30957","30957","99153","64640","7781","26732","99153","13394","116716","128345","108721","183","0","0","0","",""
"16629","11230","918954","1051670","ESB FINANCIAL","Emporia","KS","66801","12/31/2021","5/18/2022","NM","8th &merchant St.","NAMYAW CORP INC","4","0","0","4","1","Lyon","","","3/16/1901","10/1/1947","9/5/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.esbfinancial.com","323052","323052","274824","0","48178","50","0","0","","196816","89857","126236","19378","53619","53239","233195","89857","233196","312061","232776","8370","0","0","0","",""
"58140","18006","3447820","4267427","ESQUIRE BANK, NATIONAL ASSOCIATION","Jericho","NY","11753","12/31/2021","5/18/2022","N","100 Jericho Quadrangle","ESQUIRE FINANCIAL HOLDINGS INC","2","0","0","4","0","Nassau","35620","New York-Newark-Jersey City, NY-NJ-PA","10/12/2006","10/12/2006","3/1/2019","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.esquirebank.com","1029071","1029071","976728","0","50061","2282","0","0","","802318","410012","226753","182888","24553","19312","619059","413409","615662","1021455","325427","516","0","0","0","",""
"28262","1254","952677","3854268","ESSA BANK & TRUST","Stroudsburg","PA","18360","12/31/2021","5/18/2022","SB","200 Palmer St.","ESSA BCORP INC","22","0","0","4","0","Monroe","20700","East Stroudsburg, PA","1/1/1916","1/30/1947","12/4/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","0","www.essabank.com","1643590","1643590","1342711","0","281777","19103","0","0","","779080","779080","864511","458741","206116","199654","864511","288485","1355105","1375340","1141032","38594","240031","240031","0","",""
"17262","13145","961400","","ESSEX SAVINGS BANK","Essex","CT","6426","12/31/2021","5/18/2022","SB","35 Plains Rd","","8","0","0","8","0","Middlesex","25540","Hartford-West Hartford-East Hartford, CT","8/6/1851","10/2/1953","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.essexsavings.com","492042","492042","484629","0","7413","0","0","0","","232016","184576","260026","6058","195387","58581","307466","184576","307466","480461","377675","17801","0","0","0","",""
"27015","13964","541307","1250138","ETHIC, A WEALTH BANK","Boston","MA","2110","12/31/2021","5/18/2022","SA","125 High St","ADMIRALS BCORP INC","2","0","1","6","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1967","7/20/1987","8/7/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.ethicwealthbank.com","207710","207710","91983","1","16387","99339","0","0","","5672","843","202038","83729","1170","117139","206867","808","206902","187786","177033","1021","0","0","98307","",""
"29268","3193","794475","5371705","EUREKA HOMESTEAD","Metairie","LA","70005","12/31/2021","5/18/2022","SA","1922 Veterans Blvd.","EUREKA HOMESTEAD BCORP INC","1","0","0","5","0","Jefferson","35380","New Orleans-Metairie, LA","1/1/1884","8/3/1935","7/9/2019","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.eurekahomestead.com","65252","65252","28259","0","1088","35905","0","0","","0","0","65252","686","5834","58732","65252","4290","60962","58739","62032","2003","3481","3481","32424","",""
"28401","1520","587677","","EUREKA SAVINGS BANK","La Salle","IL","61301","12/31/2021","5/18/2022","SB","250 Marquette St","","5","0","0","8","0","La Salle","","","1/1/1885","3/16/1942","4/30/2021","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.eurekasavings.com","320234","320234","304834","0","14158","1242","0","0","","62628","60127","257606","88136","78073","91396","260107","23115","297118","318877","287807","28993","0","0","0","",""
"26799","15503","498531","","EVABANK","Eva","AL","35621","12/31/2021","5/18/2022","NM","4113 Eva Rd.","","8","0","0","4","0","Morgan","19460","Decatur, AL","10/13/1986","10/13/1986","12/20/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","www.evabank.com","296200","296200","284004","0","3626","8569","0","0","","68704","13449","227495","75674","33405","118415","282750","13449","282751","248848","254507","17626","19237","19237","3566","",""
