cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"29066","2853","705378","4097969","DEL NORTE BANK","Del Norte","CO","81132","12/31/2021","5/18/2022","SA","705 Grand Ave.","DEL NORTE M H C","2","0","0","2","0","Rio Grande","","","1/1/1921","10/7/1935","7/21/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.truelocalbank.com","62954","3824","1424","107","12081","43170","78","0","0","","","12662"
"26564","10035","975256","1109571","DELTA BANK","Vidalia","LA","71373","12/31/2021","5/18/2022","NM","1617 Carter St","CENTRAL LOUISIANA CAPITAL CORP","5","0","1","2","1","Concordia","","","1/10/1986","1/10/1986","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.deltabk.com","203656","13707","7701","289","79664","199327","285","1112","4","","","52885"
"26633","0","65513","1135468","DELTA NATIONAL BANK AND TRUST COMPANY","New York","NY","10019","12/31/2021","5/18/2022","N","650 5th Ave, 26th Fl.","DELTA INVESTMENT CO CAYMAN","2","0","1","7","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","3/17/1986","3/17/1986","4/20/2014","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","www.deltabank.net","75653","566","0","0","50335","203186","128","0","0","","","30505"
"15883","13950","539340","1130164","DEMOTTE STATE BANK","Demotte","IN","46310","12/31/2021","5/18/2022","SM","210 S. Halleck St.","DEMOTTE BCORP","11","0","0","2","0","Jasper","16980","Chicago-Naperville-Elgin, IL-IN-WI","2/2/1942","3/2/1942","3/1/2017","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.netdsb.com","266739","18449","21467","998","56671","156215","194","7250","20","","","11548"
"26530","0","571265","1989241","DENALI STATE BANK","Fairbanks","AK","99701","12/31/2021","5/18/2022","NM","119 N. Cushman St.","DENALI BCORP INC","5","0","0","4","0","Fairbanks North St","21820","Fairbanks, AK","2/3/1986","2/3/1986","7/29/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","www.denalistatebank.com","192880","10376","6168","216","17887","224636","272","1254","4","","","9388"
"13240","11945","222446","1209789","DENMARK STATE BANK","Denmark","WI","54208","12/31/2021","5/18/2022","NM","103 Main St.","DENMARK BANCSHARES INC","7","0","0","4","0","Brown","24580","Green Bay, WI","3/21/1909","1/1/1934","5/12/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.denmarkstate.com","392379","23373","25277","1086","93974","200998","341","2664","9","","","13177"
"12857","13743","220844","1210468","DENVER SAVINGS BANK","Denver","IA","50622","12/31/2021","5/18/2022","NM","121 S. State St.","PSB CORP","2","0","0","4","0","Bremer","47940","Waterloo-Cedar Falls, IA","1/1/1902","1/1/1934","1/1/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bankdsb.com","99294","4557","3258","178","49176","78741","99","1600","5","","","27195"
"58180","0","3382547","1951350","DEPARTMENT STORES NATIONAL BANK","Sioux Falls","SD","57104","12/31/2021","5/18/2022","N","5800 S. Corp Pl.","CITIGROUP INC","1","0","0","7","0","Minnehaha","43620","Sioux Falls, SD","10/24/2005","10/24/2005","9/9/2019","Stock","7213","0","OCC","DIF","Kansas City","WASHINGTON","Sioux Falls","Minneapolis","Western","West","0","0","","174","3208","0","0","0","250029","4","0","0","","","250000"
"33565","9702","1940747","3196801","DESJARDINS BANK, NATIONAL ASSOCIATION","Hallandale","FL","33009","12/31/2021","5/18/2022","N","1001 E. Hallandale Beach Blv","DESJARDINS GROUP THE","3","0","0","5","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","2/28/1992","2/28/1992","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.Desjardinsbank.com","169769","18013","0","0","4377","116545","111","0","0","","","9573"
"623","0","214807","1242423","DEUTSCHE BANK TRUST COMPANY AMERICAS","New York","NY","10019","12/31/2021","5/18/2022","SM","1 Columbus Circle","DEUTSCHE BK AKTIENGESELLSCHAFT","1","0","0","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","3/30/1903","1/1/1934","9/27/2021","Stock","0","1","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.db.com","163000","6894","6000","224","0","37505000","3031","2000","6","","","122000"
"26392","0","304913","1242423","DEUTSCHE BANK TRUST COMPANY DELAWARE","Wilmington","DE","19805","12/31/2021","5/18/2022","NM","1011 Ctr. Rd, # 200","DEUTSCHE BK AKTIENGESELLSCHAFT","1","0","0","7","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10/7/1985","10/7/1985","6/27/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","http://www.db.com","0","0","0","0","0","3001","1","0","0","","","3000"
"16249","0","347639","1131602","DEVON BANK","Chicago","IL","60645","12/31/2021","5/18/2022","NM","6445 N Western Ave","DEVON BCORP INC","3","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","9/15/1945","9/15/1945","7/19/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.DevonBank.com","161553","8710","9818","383","39398","173496","207","496","1","","","71934"
