cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"17399","15556","369453","1067514","IMPACT BANK","Wellington","KS","67152","12/31/2021","5/18/2022","SM","206 E. Harvey Ave.","FIRST FINANCIAL CORP","2","0","0","2","1","Sumner","48620","Wichita, KS","4/3/1928","2/10/1955","4/25/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.impact-bank.com","2.49373449208863E-03","0","0","0","0","0","","0","0","6.01322910402886E-02","","6.01322910402886E-02","0","0.134952766531714","0","0"
"3664","0","925037","1208054","INB, NATIONAL ASSOCIATION","Springfield","IL","62701","12/31/2021","5/18/2022","N","322 E. Capitol St.","ILLINOIS NATIONAL BCORP INC","13","0","0","4","1","Sangamon","44100","Springfield, IL","1/1/1905","1/1/1934","10/1/2019","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.inb.com","0.320992001660935","0.265727268632862","0","0.47144740072314","0","0.17761835447425","0","0.186864773711317","0.709619366024595","0","","0","0","0","","9.63855421686747"
"11492","13081","209858","5199776","INBANK","Raton","NM","87740","12/31/2021","5/18/2022","NM","200 S. 2nd St.","INBANKSHARES CORP","8","0","1","4","0","Colfax","","","4/9/1918","1/1/1934","4/8/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","0","1","https://inbank.com/","0.117937566800575","5.93449144052435E-02","0","0","0","0.382155965038405","0","0.444552036796584","0.35529271535323","0","","0","0","0","","0"
"3342","0","414858","2227481","INCOMMONS BANK, N.A.","Mexia","TX","76667","12/31/2021","5/18/2022","N","301 E. Commerce St.","BI-STONE BANCSHARES INC","6","0","0","4","0","Limestone","","","2/1/1882","1/1/1934","1/31/2016","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","WWW.INCOMMONSBANK.COM","0.220281759086623","0.33107101473266","0.134461757494266","0","0","0.619275236054534","","0.619275236054534","9.27884793823999E-02","1.02817191034341E-02","","1.02817191034341E-02","0","0.013014055179594","","0"
"19772","12705","163549","1209426","INCREDIBLEBANK","Wausau","WI","54401","12/31/2021","5/18/2022","NM","327 N. 17th Ave.","RIVER VALLEY BCORP INC","16","0","1","4","1","Marathon","48140","Wausau, WI","12/8/1967","12/8/1967","8/19/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.incrediblebank.com","0.21438732899602","0.352728721836145","0.28757546870035","8.10610123344747E-02","0.846979107848673","1.56430436006172","1.04904632152589","1.64989985175797","7.86663035914193E-02","0","","0","0","0","","0"
"20989","16131","606653","2351274","INDEPENDENCE BANK","Havre","MT","59501","12/31/2021","5/18/2022","NM","435 3rd St.","MONTANA SECURITY INC","6","0","0","2","0","Hill","","","3/12/1973","3/12/1973","7/29/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.ibyourbank.com","5.32056397978186E-04","0","0","0","0","0","0","0","0","4.27917326372545E-03","0.197628458498024","0","0","0","","75"
"22925","0","956527","1070970","INDEPENDENCE BANK","Independence","OH","44131","12/31/2021","5/18/2022","NM","4401 Rockside Rd.","INDEPENDENCE BANCCORP","1","0","0","4","0","Cuyahoga","17460","Cleveland-Elyria, OH","8/15/1979","8/15/1979","9/1/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","0.816635357962847","0.704553554294487","0","0.729565498980894","0","0.938866193650111","0.912200684150513","0.951086956521739","0.81620464838501","0","","0","0","0","","0"
"57379","0","3180136","","INDEPENDENCE BANK","East Greenwich","RI","2818","12/31/2021","5/18/2022","NM","1370 S County Trl","","1","0","0","4","0","Kent","39300","Providence-Warwick, RI-MA","3/25/2003","3/25/2003","5/1/2021","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.independence-bank.com","1.95346961409523","17.9120879120879","","0","","43.236074270557","0","44.8623853211009","0.778188942098389","0","","0","","0","","63.0967741935484"
"8136","13530","648242","1118854","INDEPENDENCE BANK OF KENTUCKY","Owensboro","KY","42301","12/31/2021","5/18/2022","SM","2425 Frederica St","INDEPENDENCE BANCSHARES INC","27","0","0","9","1","Daviess","36980","Owensboro, KY","1/1/1909","1/1/1934","8/1/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","http://www.1776bank.com","8.86982178898875E-02","8.94858637234419E-02","0","0","0","0.224780005572118","0.240066045319255","0.221549283810372","0.202754357002781","5.08733254197049E-02","","5.08733254197049E-02","8.09716599190283E-02","2.91800408520572E-02","","0"
"10741","0","396057","1121724","INDEPENDENCE STATE BANK","Independence","WI","54747","12/31/2021","5/18/2022","NM","23942 Senty Dr.","NORTHERN FINANCIAL CORP","3","0","0","2","0","Trempealeau","","","1/1/1897","1/1/1934","8/8/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.independencestatebank.com","0.88129256242489","0.186544342507645","0","0","0","0","0","0","0.380879832412874","0.232018561484919","","0.232018561484919","0","0.727272727272727","","80.0865800865801"
"3076","0","122854","3140288","INDEPENDENT BANK","Mckinney","TX","75070","12/31/2021","5/18/2022","NM","7777 Henneman Way","INDEPENDENT BANK GROUP INC","102","0","1","4","0","Collin","19100","Dallas-Fort Worth-Arlington, TX","1/1/1913","1/1/1934","9/16/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.independent-bank.com","0.44446043322253","0.191987714117739","1.46931338985292E-03","0.251984303984596","0","0.241287992144042","0","0.252837826871091","2.10482129659036","4.77976321788367E-02","","4.77976321788367E-02","0","4.94515944969251E-02","0","5.35215329980351"
