cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"10160","9896","1011656","2295837","STEARNS BANK HOLDINGFORD NATIONAL ASSOCIATION","Holdingford","MN","56340","12/31/2021","5/18/2022","N","580 Main St.","STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN","1","0","0","4","0","Stearns","41060","St. Cloud, MN","10/10/1910","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","0","www.stearnsbank.com","3143","0","148","0","0","0","0","0","0","0","0","2995","0","0","0","0"
"10988","10016","141556","2295837","STEARNS BANK NATIONAL ASSOCIATION","Saint Cloud","MN","56303","12/31/2021","5/18/2022","N","4191 2nd St. S.","STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN","8","0","1","4","0","Stearns","41060","St. Cloud, MN","5/28/1912","1/1/1934","10/19/2012","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","0","www.stearnsbank.com","24926","504","29","0","222","765","11490","992","595","3912","0","4992","0","0","1425","440"
"9336","9923","208459","2295837","STEARNS BANK UPSALA NATIONAL ASSOCIATION","Upsala","MN","56384","12/31/2021","5/18/2022","N","105 S. Main St.","STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN","1","0","0","4","0","Morrison","","","5/11/1914","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","0","www.stearnsbank.com","3205","37","114","0","0","0","0","0","96","0","1000","0","1958","0","0","1000"
"57813","0","3284490","3283587","STERLING BANK","Poplar Bluff","MO","63901","12/31/2021","5/18/2022","NM","1100 Sterling Dr.","STERLING BANCSHARES INC","13","0","1","4","0","Butler","","","10/19/2004","10/19/2004","3/2/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.sterbank.bank","38487","0","0","0","0","19241","10468","0","0","0","0","0","0","1182","7596","0"
"6195","0","628356","2176105","STERLING BANK","Barron","WI","54812","12/31/2021","5/18/2022","NM","234 E. La Salle Ave.","NORTHWEST WISCONSIN BCORP INC","4","0","0","4","1","Barron","","","5/1/1885","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.sterlingbank.ws","99377","0","0","0","0","0","0","0","0","2691","3028","14816","20665","58177","0","5719"
"32232","8028","979375","3852031","STERLING BANK AND TRUST, FSB","Southfield","MI","48076","12/31/2021","5/18/2022","SA","One Towne Sq, # 1900","STERLING BCORP INC","28","0","1","5","0","Oakland","19820","Detroit-Warren-Dearborn, MI","4/18/1984","7/9/1984","7/23/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","0","www.sterlingbank.com","308656","0","7955","0","0","32753","8729","11801","125048","48247","25296","0","48827","0","0","50306"
"27664","73","867070","","STERLING FEDERAL BANK, F.S.B.","Sterling","IL","61081","12/31/2021","5/18/2022","SA","110 E 4th St","","10","0","1","5","0","Whiteside","","","1/1/1885","10/22/1934","6/20/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.sterlingfederal.com","175729","1360","774","0","507","48441","71980","18495","9015","8722","3","0","1674","5420","9338","1362"
"30337","5190","125471","3083291","STERLING NATIONAL BANK","Pearl River","NY","10965","12/31/2021","5/18/2022","N","2 Blue Hill Plz","STERLING BCORP","75","0","0","4","0","Rockland","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1895","8/9/1949","9/14/2020","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","4434954","109","3395","3047","5956","293668","612909","0","0","6677","33203","272730","607281","2260219","335760","26680"
"17863","13709","144155","1123410","STERLING STATE BANK","Austin","MN","55912","12/31/2021","5/18/2022","NM","1419 1st Ave. S.W.","STERLING FINANCIAL GROUP INC","6","0","0","4","1","Mower","","","5/1/1958","5/1/1958","9/1/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.sterlingstatebank.com","219118","0","0","0","460","89035","327","1702","432","3290","1172","22550","42503","56973","674","4462"
"57358","0","3076220","3063622","STIFEL BANK","Clayton","MO","63105","12/31/2021","5/18/2022","SM","8000 Maryland Ave.","STIFEL FINANCIAL CORP","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","5/16/2002","5/16/2002","11/9/2018","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.stifelbankstl.com","2256026","1662","14096","20","46","58250","373184","0","48906","1350439","17478","71960","152542","167443","0","32687"
