cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"8183","0","356752","1129047","CITIZENS STATE BANK","Royal Oak","MI","48073","12/31/2021","5/18/2022","SM","32500 Woodward Ave","CITIZENS BANCSHARES INC","1","0","0","4","0","Oakland","19820","Detroit-Warren-Dearborn, MI","12/6/1910","1/1/1934","10/6/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.micsb.com","12828","1777","3390","10982","232","0","553","553","0","0","0"
"2467","11635","149150","3559862","CITIZENS STATE BANK","Cadott","WI","54727","12/31/2021","5/18/2022","NM","304 N. Main St.","CITIZENS BCORP INC","6","0","0","4","0","Chippewa","20740","Eau Claire, WI","8/20/1902","1/1/1934","7/9/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.csbankcadott.com","15091","3445","2291","8174","6247","1824","1146","0","0","1146","0"
"11905","0","899651","1105818","CITIZENS STATE BANK","Corrigan","TX","75939","12/31/2021","5/18/2022","NM","300 N. Home St.","CITIZENS STATE FINANCIAL CORP","2","0","0","8","1","Polk","","","1/1/1919","1/1/1934","10/27/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","https://csbanktx.com","15106","20633","8927","6124","17057","3631","12704","2337","2178","7180","1009"
"16581","0","489155","1109209","CITIZENS STATE BANK","Anton","TX","79313","12/31/2021","5/18/2022","NM","224 N. Main St.","ANTON BANCSHARES INC","1","0","0","2","0","Hockley","","","6/7/1947","6/7/1947","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","csbanton.com","3823","7416","6813","4302","124","0","2021","2021","0","0","0"
"15519","0","296755","3647572","CITIZENS STATE BANK","Miles","TX","76861","12/31/2021","5/18/2022","NM","111 S. Robinson","CSB FINANCIAL CORP","2","0","0","2","1","Runnels","","","8/2/1937","8/2/1937","11/7/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.citizensstatebk.com","6328","24242","7020","23003","547","0","42811","13036","29775","0","0"
"11759","12815","212344","1210301","CITIZENS STATE BANK","Wyoming","IA","52362","12/31/2021","5/18/2022","NM","114 W. Main St.","C S B HOLDING CORP","4","0","0","2","1","Jones","16300","Cedar Rapids, IA","1/1/1913","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.csbwyoming.com","15725","8428","8847","6386","7134","1786","2005","978","754","273","0"
"12303","0","625065","5589836","CITIZENS STATE BANK","Woodville","TX","75979","12/31/2021","5/18/2022","NM","102 W. Bluff St.","GRAHAMJB6 CO","6","0","0","7","0","Tyler","","","5/8/1920","1/1/1934","5/31/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.citizensbank.net","10642","9233","2947","9363","4908","2657","4455","270","3170","461","554"
"16934","0","317650","1133222","CITIZENS STATE BANK","Ganado","TX","77962","12/31/2021","5/18/2022","NM","201 S. 3rd St.","GANADO BANCSHARES INC","2","0","0","7","0","Jackson","","","1/1/1908","8/29/1950","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.csbjc.com","4939","4796","2987","4737","1606","405","2010","763","1247","0","0"
"16753","0","261360","2100089","CITIZENS STATE BANK","Somerville","TX","77879","12/31/2021","5/18/2022","NM","155 Eighth St.","C S B BANCSHARES INC","7","0","0","4","0","Burleson","17780","College Station-Bryan, TX","6/1/1925","12/2/1948","12/3/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.csbtx.bank","57386","73586","29770","77726","20782","2693","25364","6640","13617","4554","553"
"12501","15480","54656","2112439","CITIZENS STATE BANK","Buffalo","TX","75831","12/31/2021","5/18/2022","NM","1330 W. Commerce St.","INDUSTRY BANCSHARES INC","12","0","0","2","0","Leon","","","1/1/1925","1/1/1934","10/1/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","0","http://www.citizensstatebanktx.com","98211","171196","51844","173099","42212","2252","213514","73531","117481","21810","692"
"5495","15794","482053","1056415","CITIZENS STATE BANK","Wisner","NE","68791","12/31/2021","5/18/2022","SM","921 Ave. E.","CITIZENS NATIONAL CORP","16","0","0","2","1","Cuming","","","10/19/1888","1/1/1934","10/12/2019","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","https://www.citstatebank.com","70072","41808","19214","61916","27149","3601","29923","2100","13769","3729","10325"
"18724","13208","235558","1052949","CITIZENS STATE BANK","Carleton","NE","68326","12/31/2021","5/18/2022","NM","209 3rd St.","CARLETON AGENCY INC","1","0","0","2","0","Thayer","","","2/1/1890","3/14/1963","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.carletonbank.com","5192","6450","1781","6029","3832","0","552","0","552","0","0"
"18356","13998","413543","1969485","CITIZENS STATE BANK","Sheldon","IA","51201","12/31/2021","5/18/2022","NM","808 3rd Ave.","DIXON BANCSHARES INC","2","0","0","2","1","Obrien","","","3/15/1961","3/15/1961","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","http://www.csbsheldon.com","15667","6165","9332","4051","6937","1512","1890","350","0","1540","0"
"17214","12889","523161","","CITIZENS STATE BANK","Sealy","TX","77474","12/31/2021","5/18/2022","NM","222 Main St.","","1","0","0","8","0","Austin","26420","Houston-The Woodlands-Sugar Land, TX","8/12/1907","4/24/1953","6/29/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.csbsealy.com","29252","39166","20020","42048","6350","0","26108","7527","17999","582","0"
"22657","0","804860","","CITIZENS STATE BANK","Roma","TX","78584","12/31/2021","5/18/2022","NM","1709 Grant St.","","2","0","0","8","0","Starr","","","5/15/1978","5/15/1978","8/27/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","https://www.csbroma.com","11340","13181","5489","13933","5099","0","13514","1124","9151","3239","0"
"6194","16055","867856","1129065","CITIZENS STATE BANK","Hudson","WI","54016","12/31/2021","5/18/2022","NM","375 Stageline Rd.","CITIZENS BANCSHARES WOODVILLE","5","0","0","4","0","Saint Croix","33460","Minneapolis-St. Paul-Bloomington, MN-WI","7/15/1904","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.csbnet.net","15428","14790","7287","14939","7432","559","7851","1271","5263","1318","0"
"10474","15402","356239","1208148","CITIZENS STATE BANK","Lena","IL","61048","12/31/2021","5/18/2022","NM","102 W. Main St.","FIRST LENA CORP","3","0","0","2","1","Stephenson","","","1/1/1880","1/1/1934","7/1/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.csbnow.com","44225","21943","8053","20185","24833","13098","4693","1264","261","1763","1406"
"22523","0","139834","1142318","CITIZENS STATE BANK","Vernon","AL","35592","12/31/2021","5/18/2022","NM","315 Columbus Ave. Nw","CITIZENS S BANCSHARES INC","2","0","0","7","1","Lamar","","","9/9/1977","9/9/1977","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","8051","17807","7036","14085","4722","15","4360","808","3252","300","0"
"11778","13160","733951","2855679","CITIZENS STATE BANK AND TRUST CO., ELLSWORTH, KANSAS","Ellsworth","KS","67439","12/31/2021","5/18/2022","SM","203 N. Douglas Ave.","CSB BANCSHARES AMENDED ESOP","6","0","0","2","1","Ellsworth","","","5/31/1900","1/1/1934","3/28/2015","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","WWW.CSBANC.COM","9753","3178","3103","5715","3146","968","7405","5962","1182","261","0"
"5830","12352","678557","1051951","CITIZENS STATE BANK AND TRUST COMPANY","Hiawatha","KS","66434","12/31/2021","5/18/2022","NM","610 Oregon St.","CROSSDALE INC","2","0","0","2","1","Brown","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.csbkansas.com","6238","1146","1581","4056","1117","630","532","0","0","532","0"
"1933","0","875655","2780717","CITIZENS STATE BANK NORWOOD YOUNG AMERICA","Norwood Young Am","MN","55368","12/31/2021","5/18/2022","NM","409 Faxon Rd.","PIESCO INC","1","0","0","2","1","Carver","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/5/1914","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.citizensstatebanknya.com","12557","4372","5602","5855","3899","1571","3104","1348","1501","255","0"
"1513","0","447557","1123782","CITIZENS STATE BANK OF LA CROSSE","La Crosse","WI","54601","12/31/2021","5/18/2022","NM","620 Main St.","CLAYTON BANKSHARES INC","4","0","0","4","1","La Crosse","29100","La Crosse-Onalaska, WI-MN","12/9/1907","1/1/1934","8/25/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.citizensstatebank.us","32349","46170","8771","17240","31281","21227","8829","2888","2748","2193","1000"
"9422","0","940852","2253060","CITIZENS STATE BANK OF LANKIN","Lankin","ND","58250","12/31/2021","5/18/2022","NM","401 Main St.","CITIZENS STATE BANCSHARES INC","4","0","0","2","1","Walsh","","","5/15/1905","1/1/1934","2/9/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.csb100.com","6732","1816","1405","3172","3508","463","1021","0","767","254","0"
"6186","12650","479446","1136410","CITIZENS STATE BANK OF LOYAL","Loyal","WI","54446","12/31/2021","5/18/2022","NM","400 N. Main St.","CITIZENS BANCSHARES LOYAL INC","5","0","0","2","0","Clark","","","12/15/1909","1/1/1934","2/1/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","http://www.csbloyal.com","18154","4740","4661","8750","7669","1814","1701","260","600","841","0"
"10327","0","954653","3037557","CITIZENS STATE BANK OF LULING","Luling","TX","78648","12/31/2021","5/18/2022","NM","200 S. Magnolia Ave.","SPECTOR HOLDINGS MGNT L L C","2","0","0","4","0","Caldwell","12420","Austin-Round Rock, TX","1/2/1914","1/1/1934","3/6/2020","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.csbsa.com","3930","5634","2944","5837","784","0","6467","818","5650","0","0"
"931","14032","771047","1201390","CITIZENS STATE BANK OF MILFORD","Milford","IL","60953","12/31/2021","5/18/2022","NM","36 E Jones St","ARTHUR R MURRAY INC","1","0","0","2","1","Iroquois","","","9/23/1907","1/1/1934","3/27/2020","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.thefarmbank.com","2678","1600","1126","1966","909","277","680","260","0","0","420"
"13107","11537","1000641","1200405","CITIZENS STATE BANK OF NEW CASTLE, INDIANA","New Castle","IN","47362","12/31/2021","5/18/2022","NM","1238 Broad St.","TOWN FINANCIAL CORP","13","0","0","8","0","Henry","","","7/3/1873","1/1/1934","1/1/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.mycsbin.com","21108","9456","14562","8803","6535","664","8239","3677","3202","1360","0"
"10167","15719","822051","2613589","CITIZENS STATE BANK OF ROSEAU","Roseau","MN","56751","12/31/2021","5/18/2022","NM","118 Main Ave. S.","ROSEAU REALTY CO INC","1","0","0","8","1","Roseau","","","5/3/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.citizensros.com","25181","47880","22162","46021","4358","519","10458","3954","4641","1047","815"
"10582","0","207957","1123287","CITIZENS STATE BANK OF TYLER, INCORPORATED","Tyler","MN","56178","12/31/2021","5/18/2022","NM","111 N. Tyler St","CITIZENS ST AGENCY TYLER INC","1","0","0","2","0","Lincoln","","","5/28/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.csbtylermn.com","431","252","369","142","50","122","500","0","500","0","0"
"9337","0","213958","1133549","CITIZENS STATE BANK OF WAVERLY, INC.","Waverly","MN","55390","12/31/2021","5/18/2022","NM","609 Pacific Ave.","CATTAIL BANCSHARES INC","2","0","0","2","1","Wright","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1907","1/1/1934","12/31/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.bankwaverly.com","5443","3264","2263","4415","1382","647","0","0","0","0","0"
"1118","0","274856","","CITIZENS STATE BANK, OF ARLINGTON","Arlington","SD","57212","12/31/2021","5/18/2022","SM","128 Main St","","3","0","0","2","1","Kingsbury","","","8/28/1901","1/1/1934","12/31/2008","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.csbarlington.com","15343","9563","3596","8347","9936","3027","7488","2579","3100","1462","347"
"20818","9076","162337","1085330","CITIZENS TRI-COUNTY BANK","Dunlap","TN","37327","12/31/2021","5/18/2022","NM","15699 Rankin Ave","SEQUATCHIE VALLEY BANCSHARES","25","0","0","4","1","Sequatchie","16860","Chattanooga, TN-GA","10/2/1972","10/2/1972","12/10/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","http://www.ctcbonline.com","105873","100634","39030","86979","64347","16151","58165","9974","28065","14333","5793"
"8033","13649","680130","1078958","CITIZENS TRUST BANK","Atlanta","GA","30314","12/31/2021","5/18/2022","SM","965 Martin Luther King Jr. D","CITIZENS BANCSHARES CORP","7","0","1","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","6/18/1921","1/1/1934","1/31/2019","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.ctbconnect.com","19217","32603","7159","33810","6753","4100","57024","2490","53662","617","255"
"5840","9247","65746","1097566","CITIZENS UNION BANK OF SHELBYVILLE","Shelbyville","KY","40065","12/31/2021","5/18/2022","NM","1854 Midland Trail","CITIZENS UNION BCORP SHELBYVILLE","15","0","0","4","0","Shelby","31140","Louisville-Jefferson County, KY-IN","7/1/1888","1/1/1934","4/3/2020","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","","57124","56176","17510","58865","31482","5443","8924","1306","4768","2849","0"
"8738","0","192147","1491360","CITIZENS' BANK & TRUST CO.","Van Buren","AR","72956","12/31/2021","5/18/2022","SM","3110 Alma Hwy.","FIRST BANK CORP","8","0","0","4","0","Crawford","22900","Fort Smith, AR-OK","5/1/1886","1/1/1934","6/17/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.cbankandtrust.com","35309","29267","18642","30781","14903","250","42433","9338","21896","11199","0"
"17830","0","376947","2688596","CITIZENS' BANK OF CHARLESTON","Charleston","MO","63834","12/31/2021","5/18/2022","NM","207 E. Commercial St.","CITIZENS BCORP INC","2","0","0","2","0","Mississippi","","","1/20/1958","2/4/1958","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.citizensbankinfo.com","20494","14976","10224","19284","4699","1263","4889","2862","1469","0","558"
