cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"5634","0","126049","1131723","CONNECT BANK","Star City","AR","71667","12/31/2021","5/18/2022","SM","116 N. Lincoln","STAR CITY BANCSHARES INC","5","0","0","4","1","Lincoln","38220","Pine Bluff, AR","4/7/1925","1/1/1934","3/25/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.connectbank.us","0.119456148733765","0","0","0","0","0","0","0","0.611761107287604","0.801677355698076","","0.801677355698076","0","1.183970856102",""
"34876","0","2756909","2863946","CONNECTICUT COMMUNITY BANK, NATIONAL ASSOCIATION","Westport","CT","6880","12/31/2021","5/18/2022","N","1495 Post Rd E","ASSOCIATED COMMUNITY BCORP INC","9","0","0","4","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","12/28/1998","12/28/1998","10/18/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","Windsor","New York","Northeastern","Northeast","0","1","www.ccbankonline.com","-0.083362585565919","-7.73391811261682E-02","0","0","0","-0.9309142766598","-42.9136081309994","7.43635159070321E-02","-8.74328346457414E-02","0","","0","","0","0"
"955","0","624246","1357037","CONNECTION BANK","Fort Madison","IA","52627","12/31/2021","5/18/2022","SM","636 Ave. G","FORT MADISON FINANCIAL CO","5","0","0","4","1","Lee","","","7/1/1854","1/1/1934","9/17/2019","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","WWW.MYCONNECTIONBANK.COM","0.073151603180688","8.98641380674424E-02","0","0.211379155339598","0","3.97680648859626E-02","0","4.14381671797588E-02","0","0","","0","0","0",""
"58076","0","3357947","4848246","CONNECTIONS BANK","Kirksville","MO","63501","12/31/2021","5/18/2022","NM","2817 N. Baltimore","CONNECTIONS BANCSHARES INC","5","0","0","4","0","Adair","","","10/24/2005","10/24/2005","12/1/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.connectionsbank.com","2.73027248119362E-02","0","0","0","0","0","0","0","0","0","","0","0","0",""
"57919","0","3317932","1048764","CONNECTONE BANK","Englewood Cliffs","NJ","7632","12/31/2021","5/18/2022","NM","301 Sylvan Ave.","CONNECTONE BCORP INC","26","0","1","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","1/15/2005","1/15/2005","3/12/2021","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","http://www.connectonebank.com","3.07881792433391E-02","3.58055157632603E-02","-1.80318436811149E-03","7.75522026645107E-02","4.29592192223277E-03","4.23247830472416E-02","0.2340695885847","1.81812823124448E-02","1.05856479784708E-02","-1.17496261482589","0","-2.97297297297297","","-2.97297297297297","0"
"19482","12891","477321","2286228","CONSUMERS NATIONAL BANK","Minerva","OH","44657","12/31/2021","5/18/2022","N","614 E. Lincoln Way","CONSUMERS BCORP INC","21","0","0","4","0","Stark","15940","Canton-Massillon, OH","9/1/1965","9/1/1965","7/16/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.consumers.bank","0.005196730909809","8.00360067870534E-03","0","-5.08655278214091E-04","0","2.45790314176202E-02","0","2.81578189436152E-02","0","5.40701289572576E-02","","5.40701289572576E-02","7.11598160518755E-02","0",""
"57571","0","3220863","3191459","CONTINENTAL BANK","Salt Lake City","UT","84101","12/31/2021","5/18/2022","NM","15 W S. Temple Ste 300","CONTINENTAL BCORP","1","0","0","4","1","Salt Lake","41620","Salt Lake City, UT","11/3/2003","11/3/2003","2/23/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.cbankus.com","7.18793779474068E-02","-2.58915317430179E-02","-1.46627565982405","0","0","0","","0","0.149418088185328","","","","","",""
"4649","13646","972750","2338033","CONWAY BANK","Conway Springs","KS","67031","12/31/2021","5/18/2022","NM","124 W. Spring Ave.","NORCON FINANCIAL CORP","4","0","0","2","0","Sumner","48620","Wichita, KS","5/1/1886","1/1/1934","10/13/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.conwaybank.net","0.782403437270694","0.015782081025204","-0.200096046102129","5.45593423780599E-02","0","3.88494351292132E-02","","3.88494351292132E-02","2.79778715662319","0","","0","0","0",""
"8231","9508","398837","3319972","COPIAH BANK","Hazlehurst","MS","39083","12/31/2021","5/18/2022","SM","101 Caldwell Dr.","COPIAH BANCSHARES INC","9","0","0","4","0","Copiah","27140","Jackson, MS","10/26/1891","1/1/1934","10/26/2016","Stock","0","1","FED","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","WWW.COPIAHBANK.COM","2.66550569085465E-02","0","0","0","0","0","0","0","-4.85397621551654E-02","1.00603621730382","","1.00603621730382","0","1.33597229094508",""
"34363","0","976552","3428502","CORE BANK","Omaha","NE","68118","12/31/2021","5/18/2022","NM","17807 Burke St.","DS HOLDING CO INC","6","0","1","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/27/1996","12/27/1996","2/12/2020","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.corebank.com","2.89464969136187E-02","-1.27973734494217E-02","0","-8.56402398453733E-03","0","-3.75784763848504E-02","-0.329005088612037","0","0.126120236133278","0.821018062397373","","0.821018062397373","0","1.04738154613466","0"
"18063","53223","474656","","COREBANK","Waynoka","OK","73860","12/31/2021","5/18/2022","NM","1522 Missouri St.","","1","0","0","4","0","Woods","","","7/20/1959","7/20/1959","7/2/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","corebankok.com","-1.06187548448069E-02","-1.35383337921324E-02","0","-4.33845753373151E-02","","0","","0","0","0","","0","0","0",""
"18100","11298","361055","2883298","COREFIRST BANK & TRUST","Topeka","KS","66611","12/31/2021","5/18/2022","NM","3035 S. Topeka Ave.","COMMERCE B&T HOLDING EMPLOYEE STK OWNERSHIP PLAN","15","0","1","4","1","Shawnee","45820","Topeka, KS","11/30/1959","11/30/1959","3/26/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","WWW.CBTKS.COM","0.177992977554426","-1.45180251091206E-02","-0.135755357687473","-3.69272400433083E-04","0","0","6.78158368474267E-02","-8.72615577933297E-03","0.691891384779562","0.757166340156275","2.18148809698105","0.418162177231069","-0.182940772924766","0.681670091724726",""
"16868","0","177555","1133138","CORN GROWERS STATE BANK","Murdock","NE","68407","12/31/2021","5/18/2022","NM","333 Nebraska St.","MCHUGH INVESTMENT CO","1","0","0","2","0","Cass","36540","Omaha-Council Bluffs, NE-IA","1/3/1950","1/11/1950","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","http://www.corngrowersbank.com","-1.99954676939894E-02","0","","","","0","","0","0","-0.119057068021272","","-0.119057068021272","0","-0.184139454947213",""
