cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"34409","0","2505460","2504874","THE BANK","Jennings","LA","70546","12/31/2021","5/18/2022","NM","1304 N Cutting Ave","BANCSHARES INC THE","8","0","0","4","0","Jefferson Davis","","","2/26/1997","2/26/1997","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://thebank.bank","42029","42029","0","42029","0","0","0","0","0","0","0","0","0","","0","0","","","14563","180","180","180","0","0","0","0","0","0","0","0","42029","42028","0","0","0","0",""
"1184","13594","623454","1105014","THE BANK AND TRUST, S.S.B.","Del Rio","TX","78840","12/31/2021","5/18/2022","SM","1200 Ave. F","WESTEX BCORP INC","7","0","0","8","1","Val Verde","","","1/1/1910","1/1/1934","12/8/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.thebankandtrust.com","155661","112933","12498","100435","37437","5291","0","0","0","0","5291","0","0","","0","0","","","78594","90045","80822","80822","0","9223","9223","0","0","0","0","0","155661","155662","0","0","0","0",""
"9369","11236","879644","2848073","THE BANK OF ADVANCE","Advance","MO","63730","12/31/2021","5/18/2022","SM","105 E. Gabriel St.","MILES BANCSHARES INC","6","0","1","2","1","Stoddard","","","1/30/1902","1/1/1934","11/26/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.bankofadvance.com","57634","12925","6891","6034","35876","8833","0","0","0","0","8833","0","0","","0","0","","","41783","0","0","0","0","0","0","0","0","0","0","0","57634","57634","0","0","0","0",""
"352","0","222558","1128264","THE BANK OF BAKER","Baker","MT","59313","12/31/2021","5/18/2022","NM","116 S Main St.","UNITED BCORP","1","0","0","2","1","Fallon","","","9/20/1924","1/1/1934","7/28/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.bankofbaker.com","33073","32871","2503","30368","202","0","0","0","0","0","0","0","0","","0","0","","","33073","12828","12828","12828","0","0","0","0","0","0","0","0","33073","33073","0","0","0","0",""
"11862","52586","137456","1066263","THE BANK OF BEAVER CITY","Beaver","OK","73932","12/31/2021","5/18/2022","NM","130 Douglas","BEAVER BCORP INC","3","0","1","2","1","Beaver","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bankofbeaver.bank","71038","44517","0","44517","26521","0","0","0","0","0","0","0","0","","0","0","","","13088","44517","27342","27342","0","16218","16218","0","957","957","0","0","71038","71038","0","0","0","0",""
"30350","5214","133579","3846003","THE BANK OF BENNINGTON","Bennington","VT","5201","12/31/2021","5/18/2022","SA","155 N. St","COMMUNITY FINANCIAL MHC","5","0","0","5","0","Bennington","","","1/1/1917","2/18/1955","5/1/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.thebankofbennington.com","131692","130322","0","130322","1370","0","0","0","0","0","0","0","0","","0","0","","","2204","89669","70362","70362","0","18900","18900","0","407","0","407","0","131692","131692","0","0","0","0","0"
"21635","0","308836","1889565","THE BANK OF BOURBONNAIS","Bourbonnais","IL","60914","12/31/2021","5/18/2022","NM","1 Heritage Dr","ILLINOIS STATE BCORP INC","1","0","0","4","0","Kankakee","28100","Kankakee, IL","6/21/1974","6/21/1974","7/19/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.bankofbourbonnais.bank","25047","25046","100","24946","0","1","1","0","0","0","0","0","0","","0","0","","","5580","2","1","1","0","1","0","1","0","0","0","0","25047","25047","0","0","0","0",""
"2455","14788","517441","5371853","THE BANK OF BRODHEAD","Brodhead","WI","53520","12/31/2021","5/18/2022","SM","806 E. Exchange St.","BRODHEAD BANCSHARES INC","2","0","0","2","0","Green","31540","Madison, WI","4/30/1896","1/1/1934","3/7/2020","Stock","0","0","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.bankofbrodhead.com","60409","22098","1441","20657","36082","1923","0","0","723","0","1200","0","306","","306","0","","","2766","10195","5215","5215","0","4980","4980","0","0","0","0","9711","50392","60103","6665","6573","0","0",""
"15759","0","809856","4864590","THE BANK OF BURLINGTON","Burlington","CO","80807","12/31/2021","5/18/2022","SM","410 14th St.","BURLINGTON HOLDINGS INC","2","0","0","2","1","Kit Carson","","","1/1/1931","7/22/1940","1/17/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","https://www.thebankofburlington.com","12236","10715","2035","8680","1521","0","0","0","0","0","0","0","0","","0","0","","","5452","277","277","277","0","0","0","0","0","0","0","0","12236","12236","4999","4987","0","0",""
"90175","8486","853804","3223855","THE BANK OF CANTON","Canton","MA","2021","12/31/2021","5/18/2022","SB","490 Turnpike St","PONKAPOAG BCORP MHC","6","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","3/4/1835","10/11/1985","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.thebankofcanton.com","69675","50986","20032","30954","18689","0","0","0","0","0","0","0","0","","0","0","","","12370","27901","26150","26150","0","1751","1751","0","0","0","0","0","69675","69676","80","80","0","0",""
"10828","12523","141341","1096774","THE BANK OF CARBONDALE","Carbondale","IL","62901","12/31/2021","5/18/2022","NM","216 E Main St","CARBONDALE INVESTMENT CORP THE","5","0","0","4","0","Jackson","16060","Carbondale-Marion, IL","4/4/1919","1/1/1934","8/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","tboc.com","50283","50283","40092","10191","0","0","0","0","0","0","0","0","0","","0","0","","","48571","10191","0","0","0","9332","9332","0","859","0","859","0","50283","50283","0","0","0","0",""
