cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"33648","0","727709","","BANK OF INDIA","New York","NY","10017","12/31/2021","5/18/2022","OI","277 Park Ave","","1","0","0","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/7/1906","12/2/1980","3/23/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23826","0","898458","1895397","BANK OF JACKSON HOLE","Jackson","WY","83002","12/31/2021","5/18/2022","SM","990 W. Broadway","BANCSHARES OF JACKSON HOLE INC","12","0","1","4","0","Teton","","","6/1/1982","6/1/1982","3/16/2018","Stock","0","1","FED","DIF","San Francisco","DALLAS","Billings","Kansas City","Western","West","0","1","www.bojh.com","11326","0","0","11326","23848","4726","4999","14123","0","0","0","0","0","0","0","0","28","1","1","26","270","203","38","29","0","0","0","0","0","0","0","0"
"8118","15597","567240","1399804","BANK OF JAMESTOWN","Jamestown","KY","42629","12/31/2021","5/18/2022","NM","400 Monument Sq","JAMESTOWN BCORP INC","3","0","0","4","0","Russell","","","7/17/1899","1/1/1934","10/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.bankofjamestown.com","14281","322","1399","12560","2529","1343","607","579","6220","1532","2459","2229","1546","1286","260","0","50","10","13","27","88","81","5","2","77","46","21","10","72","69","3","0"
"11750","0","487142","3210369","BANK OF KAMPSVILLE","Kampsville","IL","62053","12/31/2021","5/18/2022","NM","Broadway &north St.","KAMPSVILLE BANCSHARES INC","4","0","0","2","0","Calhoun","41180","St. Louis, MO-IL","12/1/1908","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.thebankofkampsville.com","3673","609","970","2094","2824","1485","793","546","8692","1484","4859","2349","2563","1571","527","465","30","16","8","6","84","74","7","3","86","38","41","7","131","119","11","1"
"9775","12029","780049","3097850","BANK OF KILMICHAEL","Kilmichael","MS","39747","12/31/2021","5/18/2022","NM","120 N Depot Ave","KILMICHAEL BCORP INC","4","0","0","8","1","Montgomery","","","9/16/1904","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","www.bankofkilmichael.com","30278","30278","0","0","21417","21417","0","0","3078","1325","1139","614","8927","4778","2768","1381","463","463","0","0","639","639","0","0","46","36","8","2","296","271","20","5"
"1635","0","796451","2352280","BANK OF KIRKSVILLE","Kirksville","MO","63501","12/31/2021","5/18/2022","NM","214 S. Franklin St.","ROCKHOLD BCORP","8","0","0","2","1","Adair","","","1/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.bankofkirksville.com","6240","1391","1171","3678","9187","2294","2542","4351","22968","3440","10765","8763","6833","2994","1977","1862","70","41","13","16","140","101","25","14","220","96","92","32","155","127","19","9"
"1874","12723","246657","1051317","BANK OF LABOR","Kansas City","KS","66101","12/31/2021","5/18/2022","NM","756 Minnesota Ave.","INTL BROTHERHOOD BOILERMAKERS IRON SHIP BUILDERS BLACKSMITHS FORGERS&HELPERS","6","0","0","4","0","Wyandotte","28140","Kansas City, MO-KS","9/2/1924","1/1/1934","10/14/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.bankoflabor.com","12111","458","2113","9540","15196","3184","2340","9672","0","0","0","0","0","0","0","0","52","12","17","23","762","714","23","25","0","0","0","0","0","0","0","0"
"8695","14218","477349","","BANK OF LAKE MILLS","Lake Mills","WI","53551","12/31/2021","5/18/2022","NM","136 E. Madison St.","","2","0","0","4","1","Jefferson","","","1/1/1893","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.bankoflakemills.com","24517","1253","4566","18698","3039","926","658","1455","1285","62","247","976","0","0","0","0","126","33","45","48","59","46","7","6","9","4","2","3","1","1","0","0"
"15547","11215","476445","1137033","BANK OF LAKE VILLAGE","Lake Village","AR","71653","12/31/2021","5/18/2022","SM","101 Main St.","SOUTHEAST ARKANSAS BANK CORP","2","0","0","2","0","Chicot","","","1/1/1934","1/1/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.bankoflakevillage.com","862","171","489","202","1918","683","365","870","3051","254","387","2410","5545","1001","1819","2725","8","4","3","1","37","29","4","4","21","10","3","8","79","42","15","22"
"5425","0","13457","1063516","BANK OF LEWELLEN","Lewellen","NE","69147","12/31/2021","5/18/2022","NM","302 Main St.","LEWELLEN NATIONAL CORP","1","0","0","2","0","Garden","","","10/5/1905","1/1/1934","2/27/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.bankoflewellen.com","212","142","70","0","1034","490","544","0","1731","235","327","1169","2950","910","985","1055","5","4","1","0","21","17","4","0","14","5","4","5","53","38","10","5"
"58164","0","3410141","1119404","BANK OF LEXINGTON, INC.","Lexington","KY","40503","12/31/2021","5/18/2022","NM","761 Corp Dr","FIRST BRECKINRIDGE BANCSHARES","3","0","0","4","0","Fayette","30460","Lexington-Fayette, KY","2/6/2006","2/6/2006","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bankoflexington.net","22300","525","2728","19047","1687","967","329","391","917","68","289","560","70","70","0","0","85","13","26","46","50","43","4","3","6","1","3","2","2","2","0","0"
"57396","0","3128923","5140312","BANK OF LINCOLN COUNTY","Fayetteville","TN","37334","12/31/2021","5/18/2022","NM","307 College St E","BOLC CORP","3","0","0","4","0","Lincoln","","","7/22/2002","7/22/2002","12/10/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.bolconline.com","14309","1227","2611","10471","8983","2411","1282","5290","6499","648","4037","1814","4122","2804","133","1185","70","27","17","26","128","102","14","12","62","20","34","8","168","153","10","5"
"19087","0","111157","1059537","BANK OF LINDSAY","Lindsay","NE","68644","12/31/2021","5/18/2022","NM","102 Pine St.","LINDSAY STATE CO","1","0","0","2","0","Platte","","","4/15/1953","4/6/1964","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","https://www.bankoflindsay.com","616","0","0","616","4840","794","1350","2696","12472","201","3722","8549","18863","3258","5492","10113","1","0","0","1","52","30","12","10","61","4","26","31","212","113","48","51"
"91280","0","1397471","2617082","BANK OF LITTLE ROCK","Little Rock","AR","72201","12/31/2021","5/18/2022","SM","200 N. State St.","LITTLE ROCK BANKSHARES INC","5","0","0","7","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","10/21/1927","12/21/1987","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.bankoflittlerock.com","9079","527","2059","6493","17296","5560","5144","6592","200","0","200","0","0","0","0","0","48","13","17","18","290","207","52","31","1","0","1","0","0","0","0","0"
"16795","17319","14650","2224408","BANK OF LOCUST GROVE","Locust Grove","OK","74352","12/31/2021","5/18/2022","SM","124 E Main St","FIRST PRYOR BCORP INC","2","0","0","4","0","Mayes","","","6/6/1949","6/6/1949","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.banklg.com","1036","496","540","0","11066","5074","2136","3856","82","82","0","0","597","597","0","0","19","13","6","0","175","148","19","8","2","2","0","0","58","58","0","0"
"17878","0","271136","1247594","BANK OF LOUISIANA","New Orleans","LA","70130","12/31/2021","5/18/2022","NM","300 Saint Charles Ave","BOL BANCSHARES INC","5","0","0","8","0","Orleans","35380","New Orleans-Metairie, LA","7/1/1958","7/1/1958","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.bankoflouisiana.com","4463","479","1656","2328","260","179","81","0","0","0","0","0","0","0","0","0","32","15","10","7","11","10","1","0","0","0","0","0","0","0","0","0"
"16281","0","959630","","BANK OF LUMBER CITY","Lumber City","GA","31549","12/31/2021","5/18/2022","NM","21 Main St","","2","0","0","2","0","Telfair","","","7/2/1945","7/2/1945","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.bankoflumbercity.com","714","258","190","266","2163","1736","81","346","3541","1049","1010","1482","269","269","0","0","41","36","4","1","93","90","2","1","47","36","6","5","10","10","0","0"
"13264","12871","580548","1209743","BANK OF LUXEMBURG","Luxemburg","WI","54217","12/31/2021","5/18/2022","NM","630 Main St.","LUXEMBURG BANCSHARES INC","9","0","0","4","0","Kewaunee","24580","Green Bay, WI","10/3/1903","1/1/1934","6/27/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.bankofluxemburg.com","84036","4610","20513","58913","49666","18148","12402","19116","9993","870","3543","5580","3340","1775","818","747","395","104","142","149","898","723","111","64","61","20","23","18","75","64","8","3"
