cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"10157","11363","961343","1493001","THE SHELBY STATE BANK","Shelby","MI","49455","12/31/2021","5/18/2022","NM","242 N. Michigan","SHELBY FINANCIAL CORP","10","0","0","4","0","Oceana","","","3/2/1910","1/1/1934","4/16/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","http://www.shelbybank.com","173964","1565","6228","5042","8663","6734","5372","12291","15304","36551","56183","19976","0"
"16222","9776","546320","2705680","THE SHERWOOD STATE BANK","Sherwood","OH","43556","12/31/2021","5/18/2022","NM","105 N. Harrison St.","SHERWOOD BANC CORP","4","0","0","8","0","Defiance","","","1/8/1945","1/8/1945","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.sherwood.bank","51189","269","449","1000","351","7641","16369","976","2152","3896","7192","5862","4300"
"4773","0","356659","1063141","THE SOLOMON STATE BANK","Solomon","KS","67480","12/31/2021","5/18/2022","NM","126 W. Main St.","SOLOMON BANCSHARES INC","3","0","0","8","1","Dickinson","","","7/1/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","136638","1815","9386","23583","47193","2339","0","2733","5880","13662","28300","1698","0"
"29731","3971","117775","2496193","THE SOUTHERN BANK COMPANY","Gadsden","AL","35901","12/31/2021","5/18/2022","NM","221 S 6th St","SOUTHERN BANC CO INC THE","4","0","0","4","0","Etowah","23460","Gadsden, AL","6/1/1936","7/2/1936","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.sobanco.com","57056","317","240","1362","666","3916","0","2380","25485","7155","3652","10841","0"
"9871","0","568126","4001144","THE ST. HENRY BANK","St. Henry","OH","45883","12/31/2021","5/18/2022","SM","231 E. Main St.","ST HENRY BCORP INC THE","3","0","0","2","1","Mercer","","","1/5/1905","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.sthenrybank.com","193949","5509","7797","15824","506","5042","4580","42687","32721","48988","14742","15533","0"
"1778","13278","387055","1056732","THE STATE BANK","La Junta","CO","81050","12/31/2021","5/18/2022","NM","124 Colorado Ave","ARK VALLEY BANKSHARES INC","5","0","0","2","0","Otero","","","1/16/1893","1/1/1934","12/15/2019","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.redibank.com","56782","516","924","2143","2155","2477","1189","4175","12983","10398","8605","8752","1566"
"13715","12931","550448","1245200","THE STATE BANK","Spirit Lake","IA","51360","12/31/2021","5/18/2022","NM","1902 Hill Ave.","STATE BANCO LTD","2","0","0","7","1","Dickinson","","","10/5/1928","1/20/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","http://www.statebankspiritlake.com","25160","627","527","1605","6797","1301","0","1924","1810","1912","5810","1355","0"
"15751","13154","786256","1138786","THE STATE BANK","Richmond","MO","64085","12/31/2021","5/18/2022","NM","803 Wollard Blvd.","C S BANCSHARES INC","1","0","0","7","1","Ray","28140","Kansas City, MO-KS","7/1/1940","7/1/1940","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.gostatebank.com","14688","428","1478","1889","1315","701","0","2344","2210","1676","1863","695","0"
"11406","12118","602048","1248818","THE STATE BANK","Fenton","MI","48430","12/31/2021","5/18/2022","NM","175 N Leroy St","FENTURA FINANCIAL INC","21","0","0","4","0","Genesee","22420","Flint, MI","1/1/1898","1/1/1934","12/1/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.thestatebank.com","1106876","10447","19017","23546","37861","86859","65144","86735","114516","110949","209638","297133","43327"
"13339","11900","614313","1071454","THE STATE BANK AND TRUST COMPANY","Defiance","OH","43512","12/31/2021","5/18/2022","SM","401 Clinton St.","SB FINANCIAL GROUP INC","24","0","1","4","0","Defiance","","","3/28/1902","1/1/1934","12/31/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.yourstatebank.com","830851","24985","13502","25972","30340","91263","36044","120275","56128","114081","126006","145354","43249"
