cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"18937","0","856159","","ST. MARTIN NATIONAL BANK","Saint Martin","MN","56376","12/31/2021","5/18/2022","N","136 Main St.","","1","0","0","2","1","Stearns","41060","St. Cloud, MN","11/12/1963","11/12/1963","3/18/2008","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.stmartinnationalbank.com","6","33197","7652","4020","14000","0","11328","197","0","56","0","0","161","33197","29698","29693","19522","29693","100","0","0","0","0","5","3499","3499","0","50","50","3399","0","0","0","93","29348","7857","31019.6","32102.5","0","31692","0","0","0","0","0","0","0","0","454","3629","0","454","0"
"18227","10564","113003","","STAFFORD SAVINGS BANK","Stafford Springs","CT","6076","12/31/2021","5/18/2022","SB","2 Furnace Ave","","3","0","0","7","0","Tolland","25540","Hartford-West Hartford-East Hartford, CT","7/16/1872","7/1/1960","5/1/2021","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.staffordsavingsbank.com","28","402842","112638","110365","217554","0","65738","1258","0","1214","0","0","5698","402842","236694","197459","185773","197459","93.8635983814525","0","0","0","0","39235","166148","166148","0","0","0","166148","0","72","0","230","393657","71593","372074.8","389449","561958","384331","5007","5007","0","0","2473","1286","0","0","7555","168430","1258","7555","0"
"27757","230","811279","5218097","STANDARD BANK","Murrysville","PA","15668","12/31/2021","5/18/2022","SA","4785 Old William Penn Hwy","DOLLAR MUTUAL BCORP","18","0","1","4","0","Westmoreland","38300","Pittsburgh, PA","1/1/1921","2/21/1947","12/31/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","0","www.standardbankpa.com","149","1036194","131715","127888","174216","0","652160","299","0","6844","312","34333","36614","1036194","875326","810650","608744","810650","81.0259134803843","3271","0","58070","0","3335","160868","160868","0","10","154648","6210","0","5249","0","2615","954264","361234","1055515.6","1039112","631455","1008307","25500","18420","0","7080","63722","301","58070","0","135704","127822","299","135704","0"
"5478","12494","382256","1066759","STANTON STATE BANK","Stanton","NE","68779","12/31/2021","5/18/2022","SM","924 Ivy St.","EBERLY INVESTMENT CO","2","0","0","2","0","Stanton","","","1/1/1882","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","http://www.stantonstatebank.com","10","58221","14364","11492","17056","1250","24441","406","0","429","0","75","606","58221","53272","53173","44221","53173","79.2568495082645","0","0","0","0","99","4949","4949","0","200","200","4549","0","0","0","201","54239","3197","56609","58037.5","29455","57663","0","0","0","0","0","386","0","0","5520","5096","369","5520","0"
"5095","17985","715050","1827718","STAR BANK","Maple Lake","MN","55358","12/31/2021","5/18/2022","NM","100 State Hwy. 55 E.","MIDWEST BCORP INC","10","0","0","2","1","Wright","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/15/1904","1/1/1934","1/8/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.starbank.net","74","386743","70701","68405","46122","0","255549","3349","0","7690","18","809","5854","386743","355109","350001","255905","350001","83.4777146446621","0","0","4000","0","1108","31634","31634","0","200","17300","14134","0","8427","0","2094","370076","70520","361190","375420.5","290193","377630","1930","1930","0","0","5387","0","4000","258","90636","30962","3351","90636","0"
"27235","10676","547840","1141647","STAR FINANCIAL BANK","Fort Wayne","IN","46802","12/31/2021","5/18/2022","NM","127 W. Berry St.","STAR FINANCIAL GROUP INC","36","0","0","4","0","Allen","23060","Fort Wayne, IN","5/2/1988","5/2/1988","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.starfinancial.com","448","3092880","432502","376751","1050089","0","1491877","19014","0","39977","521","4170","73744","3092880","2836793","2811376","1647823","2811376","52.459120185871","0","0","16419","0","8998","256087","256087","0","400","71668","184019","0","2200","105","8368","2918717","1450141","2846777.8","3008323","1877831","3081554","44271","0","0","44271","14367","45128","10026","3261","717694","255664","19014","717694","13690"
"33758","12769","2009605","1126729","STARION BANK","Bismarck","ND","58501","12/31/2021","5/18/2022","NM","333 N. 4th St.","STARION BCORP","16","0","1","4","1","Burleigh","13900","Bismarck, ND","1/1/1993","1/1/1993","2/5/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.starionbank.com","231","1755068","91854","77765","719125","0","905538","15912","0","20008","0","5145","13398","1755068","1575975","1535192","1236932","1535192","56.0751793766337","3476","0","31228","0","6079","179093","179093","0","490","20109","158494","0","7622","193","8368","1702428","767659","1670527","1750721","1101606","1739564","0","0","0","0","137016","7122","31228","1299","234784","171125","13797","234784","13841"
"12706","11093","266244","3939473","STATE BANK","Waterloo","IL","62298","12/31/2021","5/18/2022","NM","855 N Illinois Rt. 3","SBW BANCSHARES INC","6","0","1","4","0","Monroe","41180","St. Louis, MO-IL","1/4/1894","1/1/1934","8/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.sbw.bank","52","305960","40528","33809","108429","0","144744","2489","0","5745","71","0","6443","305960","282511","239536","202243","239536","78.5177210858807","0","0","42500","0","475","23449","23449","0","231","1731","21487","0","329","0","1021","286982","145741","285235.2","301378.5","229351","301813","3305","3305","0","0","37128","230","42500","0","22430","23019","2489","22430","0"
"16151","15427","651149","1205259","STATE BANK","Spencer","IA","51301","12/31/2021","5/18/2022","SM","728 Grand Ave.","EVERLY BCORP","3","0","0","2","1","Clay","","","5/1/1944","5/1/1944","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","www.statebankspencer.com","15","81649","16473","15447","18663","0","43415","618","0","633","0","0","2465","81649","75670","75124","59674","75124","83.0867482703566","0","0","0","0","546","5979","5979","0","124","3676","2179","0","88","0","468","77525","12798","81054.6","82160","44911","82228","1324","1324","0","0","4665","1254","0","0","7727","6150","562","7727","0"
"35169","0","2791517","1137453","STATE BANK","Freeport","IL","61032","12/31/2021","5/18/2022","NM","1718 S. Dirck Dr.","FORESIGHT FINANCIAL GROUP INC","2","0","0","2","0","Stephenson","","","5/24/1999","5/24/1999","7/1/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.statebankfreeport.com","33","324748","9524","2931","97501","32","211465","4114","0","1484","0","0","4742","324748","291539","259728","205413","259728","83.959708820044","30002","0","318","0","1491","33209","33209","0","1000","4802","27407","0","1227","0","1321","311929","111692","323416.8","329744.5","0","327640","1563","1563","0","0","48894","7570","0","0","58308","33006","0","58308","0"
