CUSIP,SEQ,START,COUPON,MARGIN,SIMPNDX,FIRSTRST,CPNFRQ,FORMULA
3130ARXY2,5,2024-11-23,5.0,0.0,0,N/A,S,5.0
3130ARXZ9,1,2022-06-08,4.0,0.0,0,N/A,S,4.0
3130ARY21,1,2022-05-23,2.5,0.0,0,N/A,S,2.5
3130ARY21,2,2023-05-23,4.0,0.0,0,N/A,S,4.0
3130ARY39,1,2022-05-04,1.85,0.0,0,N/A,S,1.85
3130ARY39,2,2022-11-04,2.55,0.0,0,N/A,S,2.55
3130ARY47,1,2022-05-02,2.98,0.0,0,N/A,S,2.98
3130ARY54,1,2022-05-25,3.25,0.0,0,N/A,S,3.25
3130ARY62,1,2022-05-23,4.0,0.0,0,N/A,S,4.0
3130ARY70,1,2022-05-11,2.5,0.0,0,N/A,S,2.5
3130ARY70,2,2023-05-11,4.25,0.0,0,N/A,S,4.25
3130ARY88,1,2022-05-23,3.85,0.0,0,N/A,S,3.85
3130ARY96,1,2022-05-24,2.9,0.0,0,N/A,S,2.9
3130ARYA3,1,2022-05-26,4.0,0.0,0,N/A,S,4.0
3130ARYB1,1,2022-05-26,3.15,0.0,0,N/A,S,3.15
3130ARYB1,2,2023-05-26,3.5,0.0,0,N/A,S,3.5
3130ARYB1,3,2024-05-26,4.0,0.0,0,N/A,S,4.0
3130ARYB1,4,2025-05-26,4.75,0.0,0,N/A,S,4.75
3130ARYB1,5,2026-05-26,5.5,0.0,0,N/A,S,5.5
3130ARYC9,1,2022-05-27,3.0,0.0,0,N/A,S,3.0
3130ARYD7,1,2022-05-27,3.25,0.0,0,N/A,S,3.25
3130ARYE5,1,2022-06-09,4.125,0.0,0,N/A,S,4.125
3130ARYF2,1,2022-05-24,3.5,0.0,0,N/A,S,3.5
3130ARYF2,2,2024-05-24,4.0,0.0,0,N/A,S,4.0
3130ARYF2,3,2025-05-24,5.0,0.0,0,N/A,S,5.0
3130ARYF2,4,2026-05-24,6.0,0.0,0,N/A,S,6.0
3130ARYG0,1,2022-05-23,4.15,0.0,0,N/A,S,4.15
3130ARYH8,1,2022-05-11,4.6,0.0,0,N/A,S,4.6
3130ARYJ4,1,2022-06-07,3.0,0.0,0,N/A,Q,3.0
3130ARYJ4,2,2024-03-07,6.0,0.0,0,N/A,Q,6.0
3130ARX48,1,2022-04-28,2.97,0.0,0,N/A,S,2.97
3130ARX55,1,2022-05-26,3.125,0.0,0,N/A,S,3.125
3130ARX63,1,2022-05-12,2.25,0.0,0,N/A,Q,2.25
3130ARX63,2,2022-11-12,2.5,0.0,0,N/A,Q,2.5
3130ARX63,3,2023-02-12,2.75,0.0,0,N/A,Q,2.75
3130ARX63,4,2023-05-12,3.0,0.0,0,N/A,Q,3.0
3130ARX63,5,2023-08-12,3.25,0.0,0,N/A,Q,3.25
3130ARX63,6,2023-11-12,3.5,0.0,0,N/A,Q,3.5
3130ARX63,7,2024-02-12,3.75,0.0,0,N/A,Q,3.75
3130ARX63,8,2024-05-12,4.25,0.0,0,N/A,Q,4.25
3130ARX63,9,2024-08-12,4.75,0.0,0,N/A,Q,4.75
3130ARX63,10,2024-11-12,5.5,0.0,0,N/A,Q,5.5
3130ARX63,11,2025-02-12,6.25,0.0,0,N/A,Q,6.25
3130ARX71,1,2022-05-23,3.0,0.0,0,N/A,S,3.0
3130ARX89,1,2022-05-23,2.0,0.0,0,N/A,S,2.0
3130ARX89,2,2022-11-23,3.0,0.0,0,N/A,S,3.0
3130ARX89,3,2023-05-23,4.0,0.0,0,N/A,S,4.0
3130ARX89,4,2023-11-23,5.0,0.0,0,N/A,S,5.0
3130ARX97,1,2022-05-12,1.5,0.0,0,N/A,Q,1.5
3130ARX97,2,2022-08-12,2.0,0.0,0,N/A,Q,2.0
3130ARX97,3,2022-11-12,2.5,0.0,0,N/A,Q,2.5
3130ARX97,4,2023-02-12,3.0,0.0,0,N/A,Q,3.0
3130ARXA4,1,2022-05-23,2.66,0.0,0,N/A,S,2.66
3130ARXB2,1,2022-05-23,2.125,0.0,0,N/A,S,2.125
