 CUSIP              SEQ DESCRIP                                                      F  FIRSTRST         USAGE                          
 3130ASS42            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASS59            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASSB6            1 Overnight SOFR                                               D  20220721         Coupon Reset                   
 3130ASSC4            1 Overnight SOFR                                               D  20220721         Coupon Reset                   
 3130ASSE0            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASSG5            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASSH3            1 Overnight SOFR                                               D  20220721         Coupon Reset                   
 3130ASSK6            1 Overnight SOFR                                               D  20220725         Coupon Reset                   
 3130ASSP5            1 Overnight SOFR                                               D  20220722         Coupon Reset                   
 3130ASSS9            1 Overnight SOFR                                               D  20220722         Coupon Reset                   
 3130ASST7            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130ASSV2            1 Overnight SOFR                                               D  20220725         Coupon Reset                   
 3130ASSW0            1 Overnight SOFR                                               D  20220722         Coupon Reset                   
 3130ASSY6            1 Overnight SOFR                                               D  20220725         Coupon Reset                   
 3130ASSZ3            1 Overnight SOFR                                               D  20220725         Coupon Reset                   
 3130AST58            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130AST66            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130AST74            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130AST82            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130AST90            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130ASTB5            1 Overnight SOFR                                               D  20220726         Coupon Reset                   
 3130ASTD1            1 Overnight SOFR                                               D  20220727         Coupon Reset                   
 3130ASTJ8            1 Overnight SOFR                                               D  20220727         Coupon Reset                   
 3130ASTP4            1 Overnight SOFR                                               D  20220728         Coupon Reset                   
 3130ASTT6            1 Overnight SOFR                                               D  20220801         Coupon Reset                   
 3130ASTU3            1 Overnight SOFR                                               D  20220729         Coupon Reset                   
