CUSIP,SERIES,TRADED,ISSUED,MATURITY,TYPE,FIRSTCPN,F,PCR,CCR,R,S,CALL,ORIGINAL,REOPENED,OUTSTANDING,PRICE,COUPON,MINDENOM,MULTIPLES,DAYCNT,PAGENT,V,FORMULA
3130AC4Z4,1E-2024,2017-08-09,2017-08-15,2024-02-15,Domestic Bond,2018-02-15,S,USD,USD,F,C,Non,60000000.0,0.0,60000000.0,100.0,2.125,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.125
3130ACJ54,9S-2023,2017-09-25,2017-09-27,2023-06-30,Domestic Bond,2017-12-30,S,USD,USD,F,C,Non,4600000.0,0.0,4600000.0,100.0,1.96,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.96
3130ACKB9,ZG-2027,2017-10-02,2017-10-04,2027-09-10,Domestic Bond,2018-03-10,S,USD,USD,F,C,Non,10000000.0,107800000.0,117800000.0,99.718348,2.625,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.625
3130ACKE3,1U-2024,2017-10-02,2017-10-03,2024-05-30,Domestic Bond,2017-11-30,S,USD,USD,F,C,Non,21910000.0,0.0,21910000.0,100.0,2.195,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.195
3130ACF90,1M-2024,2017-09-12,2017-09-13,2024-03-01,Domestic Bond,2018-03-01,S,USD,USD,F,C,Non,8945000.0,0.0,8945000.0,100.0,2.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.0
3130ACDQ4,YV-2027,2017-08-30,2017-09-01,2027-09-10,Domestic Bond,2018-03-10,S,USD,USD,F,C,Non,22000000.0,99240000.0,121240000.0,100.667537,2.375,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.375
3130ACED2,KK-2037,2017-09-06,2017-09-08,2037-09-11,Domestic Bond,2018-03-11,S,USD,USD,F,C,Non,5000000.0,0.0,5000000.0,98.811507,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130ACLM4,KK-9022,2017-10-05,2017-10-25,2022-10-25,Domestic Bond,2018-04-25,S,USD,USD,F,U,OPR,15000000.0,0.0,15000000.0,100.0,2.375,100000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.375
3130ACP24,WW-9022,2017-10-17,2017-10-18,2022-12-05,Domestic Bond,2017-12-05,S,USD,USD,F,C,Non,260000000.0,0.0,260000000.0,100.0,1.97,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.97
3130ACP40,XX-9022,2017-10-17,2017-10-18,2022-12-05,Domestic Bond,2017-12-05,S,USD,USD,F,C,Non,65000000.0,0.0,65000000.0,100.0,1.97,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.97
3130ACQA5,9U-2023,2017-10-24,2017-11-15,2023-05-01,Domestic Bond,2018-05-01,S,USD,USD,F,C,Non,70755000.0,0.0,70755000.0,100.0,2.14,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.14
3130ACUP7,DE-2032,2017-11-14,2017-11-29,2032-11-29,Domestic Bond,2018-05-29,S,USD,USD,F,C,OPR,75000000.0,0.0,75000000.0,100.0,3.2,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.2
3130ACUU6,2G-2024,2017-11-14,2017-11-15,2024-08-28,Domestic Bond,2018-02-28,S,USD,USD,F,C,Non,8440000.0,0.0,8440000.0,100.0,2.305,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.305
3130ACUX0,9X-2023,2017-11-14,2017-11-16,2023-01-03,Domestic Bond,2018-01-03,S,USD,USD,F,C,Non,5950000.0,0.0,5950000.0,100.0,2.1,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.1
3130ACVU5,AY-9022,2017-11-16,2017-11-17,2022-12-06,Domestic Bond,2017-12-06,S,USD,USD,F,C,Non,9825000.0,0.0,9825000.0,100.0,2.07,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.07
3130ACR97,9V-2023,2017-10-31,2017-11-01,2023-01-30,Domestic Bond,2018-01-30,S,USD,USD,F,C,Non,5905000.0,0.0,5905000.0,100.0,2.07,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.07
3130ACRK2,AL-9022,2017-11-02,2017-11-28,2022-11-28,Domestic Bond,2018-05-28,S,USD,USD,F,C,OPR,15000000.0,0.0,15000000.0,100.0,2.15,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.15
3130ACS96,AM-9022,2017-11-06,2017-11-07,2022-11-07,Domestic Bond,2018-05-07,S,USD,USD,F,C,Non,21600000.0,0.0,21600000.0,100.0,2.03,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.03
